problem_id,gold_schema,schema_id,rank,retrieval_score,retrieval_margin,schema_hit,n_expected_scalar,n_filled,coverage,type_match,ready,key_overlap,extracted_number_count,unmatched_mention_count,incompatible_assignment_count,null_slot_count,min_assignment_margin,mean_assignment_margin,lexical_overlap_query_schema
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_0,1,0.443774519288699,0.08641432726304782,1,5,5,1.0,1.0,1,1.0,6,1,0,0,0.5,551999.4400000001,0.23809523809523808
nlp4lp_test_0,nlp4lp_test_0,investment_lp,2,0.35736019202565117,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.2857142857142857
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_17,3,0.13502549382899098,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.20833333333333334
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_321,4,0.13085978641630808,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.09876543209876543
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_14,5,0.12931909449646523,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.21428571428571427
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_299,6,0.12153076797538752,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.16455696202531644
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_310,7,0.11384393293329159,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.13924050632911392
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_286,8,0.11024798107376957,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.13186813186813187
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_284,9,0.10839201441987803,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.07608695652173914
nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_25,10,0.10671165755043448,0.08641432726304782,0,0,0,0.0,0.0,0,0.0,6,6,0,0,,,0.12048192771084337
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_1,1,0.4016781415176313,0.16300298907879174,1,2,2,1.0,1.0,1,1.0,9,7,0,0,30.0,32.5,0.21666666666666667
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_65,2,0.23867515243883958,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.171875
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_41,3,0.188183087866658,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.1896551724137931
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_123,4,0.1484789133692813,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.13333333333333333
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_91,5,0.13637332656356235,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.18461538461538463
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_97,6,0.13501166183153232,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.15492957746478872
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_249,7,0.13405031625208438,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.15873015873015872
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_76,8,0.13069172891752678,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.15384615384615385
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_75,9,0.1246326411280098,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.16176470588235295
nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_11,10,0.1238455226534392,0.16300298907879174,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.16666666666666666
nlp4lp_test_2,nlp4lp_test_2,nlp4lp_test_2,1,0.8028665003056823,0.6662246764013251,1,8,8,1.0,1.0,1,1.0,9,1,0,0,5.0,156249.75,0.33663366336633666
nlp4lp_test_2,nlp4lp_test_2,nlp4lp_test_312,2,0.13664182390435725,0.6662246764013251,0,0,0,0.0,0.0,0,0.0,9,9,0,0,,,0.13709677419354838
