method,ready_both,ready_baseline_only,ready_candidate_only,ready_neither,ready_mcnemar_p,schema_both_correct,schema_baseline_only_correct,schema_candidate_only_correct,schema_both_wrong,schema_mcnemar_p
all_k2_R0_tfidf_top1,257,0,0,74,1.0,301,0,0,30,1.0
all_k2_R1_max_coverage,257,0,13,61,0.000244140625,295,6,4,26,0.75390625
all_k2_R2_max_typematch,257,0,15,59,6.103515625e-05,293,8,4,26,0.3876953125
all_k2_R3_ready_cov_type_tfidf,257,0,16,58,3.0517578125e-05,290,11,4,26,0.11846923828125
all_k2_R4_verified_cov_type_tfidf,257,0,16,58,3.0517578125e-05,283,18,4,26,0.004343509674072266
all_k2_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
all_k3_R0_tfidf_top1,257,0,0,74,1.0,301,0,0,30,1.0
all_k3_R1_max_coverage,257,0,17,57,1.52587890625e-05,293,8,6,24,0.79052734375
all_k3_R2_max_typematch,257,0,18,56,7.62939453125e-06,290,11,6,24,0.332305908203125
all_k3_R3_ready_cov_type_tfidf,257,0,20,54,1.9073486328125e-06,285,16,6,24,0.052478790283203125
all_k3_R4_verified_cov_type_tfidf,257,0,20,54,1.9073486328125e-06,276,25,6,24,0.0008779102936387062
all_k3_R5_small_consistency_score,257,0,9,65,0.00390625,301,0,4,26,0.125
all_k5_R0_tfidf_top1,257,0,0,74,1.0,301,0,0,30,1.0
all_k5_R1_max_coverage,257,0,21,53,9.5367431640625e-07,291,10,7,23,0.629058837890625
all_k5_R2_max_typematch,257,0,21,53,9.5367431640625e-07,288,13,7,23,0.26317596435546875
all_k5_R3_ready_cov_type_tfidf,257,0,25,49,5.960464477539063e-08,281,20,7,23,0.0191572904586792
all_k5_R4_verified_cov_type_tfidf,257,0,25,49,5.960464477539063e-08,272,29,7,23,0.00031255115754902363
all_k5_R5_small_consistency_score,257,0,13,61,0.000244140625,301,0,6,24,0.03125
selective_k2_margin0.01_R3_ready_cov_type_tfidf,257,0,1,73,1.0,301,0,0,30,1.0
selective_k2_margin0.01_R4_verified_cov_type_tfidf,257,0,1,73,1.0,301,0,0,30,1.0
selective_k2_margin0.01_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k2_margin0.02_R3_ready_cov_type_tfidf,257,0,5,69,0.0625,301,0,2,28,0.5
selective_k2_margin0.02_R4_verified_cov_type_tfidf,257,0,5,69,0.0625,301,0,2,28,0.5
selective_k2_margin0.02_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k2_margin0.03_R3_ready_cov_type_tfidf,257,0,6,68,0.03125,301,0,2,28,0.5
selective_k2_margin0.03_R4_verified_cov_type_tfidf,257,0,6,68,0.03125,301,0,2,28,0.5
selective_k2_margin0.03_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k2_margin0.05_R3_ready_cov_type_tfidf,257,0,6,68,0.03125,300,1,2,28,1.0
selective_k2_margin0.05_R4_verified_cov_type_tfidf,257,0,6,68,0.03125,300,1,2,28,1.0
selective_k2_margin0.05_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k2_margin0.075_R3_ready_cov_type_tfidf,257,0,7,67,0.015625,300,1,3,27,0.625
selective_k2_margin0.075_R4_verified_cov_type_tfidf,257,0,7,67,0.015625,297,4,3,27,1.0
selective_k2_margin0.075_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k2_margin0.1_R3_ready_cov_type_tfidf,257,0,7,67,0.015625,300,1,3,27,0.625
selective_k2_margin0.1_R4_verified_cov_type_tfidf,257,0,7,67,0.015625,296,5,3,27,0.7265625
selective_k2_margin0.1_R5_small_consistency_score,257,0,0,74,1.0,301,0,0,30,1.0
selective_k3_margin0.01_R3_ready_cov_type_tfidf,257,0,1,73,1.0,300,1,0,30,1.0
selective_k3_margin0.01_R4_verified_cov_type_tfidf,257,0,1,73,1.0,300,1,0,30,1.0
selective_k3_margin0.01_R5_small_consistency_score,257,0,1,73,1.0,301,0,0,30,1.0
selective_k3_margin0.02_R3_ready_cov_type_tfidf,257,0,5,69,0.0625,300,1,2,28,1.0
selective_k3_margin0.02_R4_verified_cov_type_tfidf,257,0,5,69,0.0625,300,1,2,28,1.0
selective_k3_margin0.02_R5_small_consistency_score,257,0,5,69,0.0625,301,0,2,28,0.5
selective_k3_margin0.03_R3_ready_cov_type_tfidf,257,0,6,68,0.03125,300,1,2,28,1.0
selective_k3_margin0.03_R4_verified_cov_type_tfidf,257,0,6,68,0.03125,300,1,2,28,1.0
selective_k3_margin0.03_R5_small_consistency_score,257,0,6,68,0.03125,301,0,2,28,0.5
selective_k3_margin0.05_R3_ready_cov_type_tfidf,257,0,7,67,0.015625,299,2,2,28,1.0
selective_k3_margin0.05_R4_verified_cov_type_tfidf,257,0,7,67,0.015625,299,2,2,28,1.0
selective_k3_margin0.05_R5_small_consistency_score,257,0,6,68,0.03125,301,0,2,28,0.5
selective_k3_margin0.075_R3_ready_cov_type_tfidf,257,0,8,66,0.0078125,299,2,3,27,1.0
