problem_id,gold_schema,tfidf_top1_schema,topk_schemas,topk_scores,top1_top2_margin,gold_rank,gold_in_top2,gold_in_top3,gold_in_top5,gold_in_top10,query_length,lexical_overlap_gold,lexical_overlap_top1,pred_ready,pred_coverage,pred_type_match,gold_ready_if_top10,gold_coverage_if_top10,gold_type_match_if_top10,classification
nlp4lp_test_4,nlp4lp_test_4,nlp4lp_test_41,"[""nlp4lp_test_41"", ""nlp4lp_test_17"", ""nlp4lp_test_318"", ""nlp4lp_test_150"", ""nlp4lp_test_238"", ""nlp4lp_test_80"", ""nlp4lp_test_9"", ""nlp4lp_test_267"", ""nlp4lp_test_215"", ""nlp4lp_test_163""]","[0.231178377813227, 0.16339669357773248, 0.15284431514633648, 0.15281251639986979, 0.14777706021767742, 0.14761782478172306, 0.14418720724482795, 0.14100332273126445, 0.1402412790022586, 0.13962803408985958]",0.06778168423549452,335,0,0,0,0,77,0.057692307692307696,0.19696969696969696,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
nlp4lp_test_12,nlp4lp_test_12,nlp4lp_test_260,"[""nlp4lp_test_260"", ""nlp4lp_test_15"", ""nlp4lp_test_120"", ""nlp4lp_test_205"", ""diet_lp"", ""nlp4lp_test_16"", ""nlp4lp_test_6"", ""nlp4lp_test_266"", ""nlp4lp_test_63"", ""nlp4lp_test_77""]","[0.3559295481820712, 0.32497310865307255, 0.2818792993938276, 0.23637475989315715, 0.23555638716263186, 0.2165212199484085, 0.19855140615344358, 0.1833229882760131, 0.18211574732446806, 0.1815768496960152]",0.030956439528998625,12,0,0,0,0,76,0.18461538461538463,0.14102564102564102,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
nlp4lp_test_24,nlp4lp_test_24,nlp4lp_test_122,"[""nlp4lp_test_122"", ""nlp4lp_test_127"", ""nlp4lp_test_24"", ""nlp4lp_test_99"", ""nlp4lp_test_112"", ""nlp4lp_test_119"", ""nlp4lp_test_132"", ""nlp4lp_test_15"", ""nlp4lp_test_109"", ""nlp4lp_test_89""]","[0.5737218921599102, 0.4291860385079391, 0.42000128585519875, 0.385142922095649, 0.37132109411012326, 0.3623128952277366, 0.32741431452529535, 0.2965776826431719, 0.2785435509851696, 0.20658119549296777]",0.14453585365197108,3,0,1,1,1,98,0.16666666666666666,0.23333333333333334,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_36,nlp4lp_test_36,nlp4lp_test_10,"[""nlp4lp_test_10"", ""nlp4lp_test_189"", ""nlp4lp_test_36"", ""nlp4lp_test_325"", ""nlp4lp_test_280"", ""nlp4lp_test_55"", ""nlp4lp_test_97"", ""nlp4lp_test_33"", ""nlp4lp_test_285"", ""nlp4lp_test_79""]","[0.4474200194839044, 0.28418281534596246, 0.28301774761667425, 0.2393713768056525, 0.2179476110858998, 0.2077723292444767, 0.1968790958996336, 0.19541264034416667, 0.1950892611135341, 0.1860956600982986]",0.16323720413794196,3,0,1,1,1,104,0.1506849315068493,0.14864864864864866,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_96,nlp4lp_test_96,nlp4lp_test_231,"[""nlp4lp_test_231"", ""nlp4lp_test_193"", ""nlp4lp_test_259"", ""nlp4lp_test_130"", ""nlp4lp_test_7"", ""nlp4lp_test_78"", ""nlp4lp_test_116"", ""nlp4lp_test_99"", ""nlp4lp_test_74"", ""nlp4lp_test_186""]","[0.29891108492823565, 0.28924249284567005, 0.26664050650439625, 0.2526874734276791, 0.24204116257094382, 0.21337522679022788, 0.20395105997318105, 0.19044790214794355, 0.18427078646066505, 0.16893639654612716]",0.009668592082565597,23,0,0,0,0,112,0.2,0.22972972972972974,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
nlp4lp_test_106,nlp4lp_test_106,nlp4lp_test_227,"[""nlp4lp_test_227"", ""nlp4lp_test_7"", ""nlp4lp_test_120"", ""nlp4lp_test_130"", ""nlp4lp_test_193"", ""nlp4lp_test_27"", ""nlp4lp_test_231"", ""nlp4lp_test_116"", ""nlp4lp_test_106"", ""nlp4lp_test_35""]","[0.21167176988332942, 0.2011069052190128, 0.20025387875556372, 0.1880544075452951, 0.17363615737053056, 0.16629000420696902, 0.1651434073009549, 0.1563019800415079, 0.15019792992729136, 0.14810674953340722]",0.010564864664316609,9,0,0,0,1,102,0.1527777777777778,0.13095238095238096,0,0.0,0.0,1,0.8888888888888888,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_117,nlp4lp_test_117,nlp4lp_test_131,"[""nlp4lp_test_131"", ""nlp4lp_test_230"", ""nlp4lp_test_91"", ""nlp4lp_test_111"", ""nlp4lp_test_117"", ""nlp4lp_test_101"", ""nlp4lp_test_255"", ""nlp4lp_test_275"", ""nlp4lp_test_134"", ""nlp4lp_test_53""]","[0.28393587331970144, 0.22759180225691902, 0.21731477121219436, 0.1882208010908022, 0.1875686863334527, 0.1866713283976361, 0.17563043997358954, 0.1696794882896052, 0.14896297036634804, 0.14726955409144477]",0.056344071062782414,5,0,0,1,1,110,0.19230769230769232,0.18666666666666668,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_130,nlp4lp_test_130,nlp4lp_test_120,"[""nlp4lp_test_120"", ""nlp4lp_test_15"", ""nlp4lp_test_231"", ""diet_lp"", ""nlp4lp_test_260"", ""nlp4lp_test_130"", ""nlp4lp_test_7"", ""nlp4lp_test_205"", ""nlp4lp_test_116"", ""nlp4lp_test_259""]","[0.3989675752386864, 0.36742945743348815, 0.3453210897886969, 0.34037875736789763, 0.28359845205370987, 0.28288738147095926, 0.22190747001726893, 0.21210141923853987, 0.21142942679853738, 0.2054870529114639]",0.031538117805198274,6,0,0,0,1,100,0.2077922077922078,0.19753086419753085,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_161,nlp4lp_test_161,nlp4lp_test_151,"[""nlp4lp_test_151"", ""nlp4lp_test_161"", ""nlp4lp_test_181"", ""nlp4lp_test_171"", ""nlp4lp_test_78"", ""nlp4lp_test_251"", ""nlp4lp_test_180"", ""nlp4lp_test_182"", ""nlp4lp_test_141"", ""nlp4lp_test_258""]","[0.3736946692117703, 0.36108614181182397, 0.3397923345645686, 0.275016510978909, 0.26638732140391896, 0.2469148869922072, 0.2029885732668375, 0.198323705171732, 0.18896053516924383, 0.17099340283648984]",0.012608527399946334,2,1,1,1,1,88,0.35384615384615387,0.3055555555555556,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_188,nlp4lp_test_188,nlp4lp_test_120,"[""nlp4lp_test_120"", ""nlp4lp_test_15"", ""diet_lp"", ""nlp4lp_test_231"", ""nlp4lp_test_32"", ""nlp4lp_test_259"", ""nlp4lp_test_260"", ""nlp4lp_test_116"", ""nlp4lp_test_205"", ""nlp4lp_test_7""]","[0.3771312280786959, 0.34328814047790424, 0.3408762917623534, 0.3184193795396462, 0.2952792517882084, 0.2576436661147412, 0.241645883341955, 0.20424796425238315, 0.17589680126060075, 0.15928937795069698]",0.03384308760079169,49,0,0,0,0,79,0.14285714285714285,0.12195121951219512,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
