family,query_id,schema_name,retrieval_correct,grounding_mode,param_coverage,type_match,key_overlap,instantiation_approx,error_type
Agricultural / Farming,nlp4lp_test_104,nlp4lp_test_104,1,tfidf_greedy,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_104,nlp4lp_test_104,1,constrained,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_104,nlp4lp_test_104,1,opt_role_repair,0.800,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_104,nlp4lp_test_104,1,global_compat_full,0.800,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_104,nlp4lp_test_104,1,semantic_ir_repair,0.800,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_277,nlp4lp_test_277,1,tfidf_greedy,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_277,nlp4lp_test_277,1,constrained,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_277,nlp4lp_test_277,1,opt_role_repair,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_277,nlp4lp_test_277,1,global_compat_full,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_277,nlp4lp_test_277,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_319,nlp4lp_test_319,1,tfidf_greedy,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_319,nlp4lp_test_319,1,constrained,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_319,nlp4lp_test_319,1,opt_role_repair,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_319,nlp4lp_test_319,1,global_compat_full,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_319,nlp4lp_test_319,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_38,nlp4lp_test_38,1,tfidf_greedy,1.000,0.889,1.000,1,none
Agricultural / Farming,nlp4lp_test_38,nlp4lp_test_38,1,constrained,1.000,0.889,1.000,1,none
Agricultural / Farming,nlp4lp_test_38,nlp4lp_test_38,1,opt_role_repair,1.000,0.889,1.000,1,none
Agricultural / Farming,nlp4lp_test_38,nlp4lp_test_38,1,global_compat_full,1.000,0.667,1.000,0,none
Agricultural / Farming,nlp4lp_test_38,nlp4lp_test_38,1,semantic_ir_repair,1.000,0.889,1.000,1,none
Agricultural / Farming,nlp4lp_test_64,nlp4lp_test_64,1,tfidf_greedy,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_64,nlp4lp_test_64,1,constrained,1.000,0.500,1.000,0,none
Agricultural / Farming,nlp4lp_test_64,nlp4lp_test_64,1,opt_role_repair,1.000,0.750,1.000,1,none
Agricultural / Farming,nlp4lp_test_64,nlp4lp_test_64,1,global_compat_full,1.000,0.750,1.000,1,none
Agricultural / Farming,nlp4lp_test_64,nlp4lp_test_64,1,semantic_ir_repair,1.000,0.750,1.000,1,none
Agricultural / Farming,nlp4lp_test_74,nlp4lp_test_74,1,tfidf_greedy,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_74,nlp4lp_test_74,1,constrained,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_74,nlp4lp_test_74,1,opt_role_repair,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_74,nlp4lp_test_74,1,global_compat_full,1.000,1.000,1.000,1,none
Agricultural / Farming,nlp4lp_test_74,nlp4lp_test_74,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Assignment / Matching,nlp4lp_test_327,nlp4lp_test_327,1,tfidf_greedy,1.000,1.000,1.000,1,none
Assignment / Matching,nlp4lp_test_327,nlp4lp_test_327,1,constrained,1.000,1.000,1.000,1,none
Assignment / Matching,nlp4lp_test_327,nlp4lp_test_327,1,opt_role_repair,1.000,1.000,1.000,1,none
Assignment / Matching,nlp4lp_test_327,nlp4lp_test_327,1,global_compat_full,1.000,1.000,1.000,1,none
Assignment / Matching,nlp4lp_test_327,nlp4lp_test_327,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_100,nlp4lp_test_100,1,tfidf_greedy,1.000,0.556,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_100,nlp4lp_test_100,1,constrained,0.778,0.714,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_100,nlp4lp_test_100,1,opt_role_repair,1.000,0.556,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_100,nlp4lp_test_100,1,global_compat_full,0.889,0.625,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_100,nlp4lp_test_100,1,semantic_ir_repair,0.778,0.714,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_103,nlp4lp_test_103,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_103,nlp4lp_test_103,1,constrained,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_103,nlp4lp_test_103,1,opt_role_repair,0.857,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_103,nlp4lp_test_103,1,global_compat_full,0.857,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_103,nlp4lp_test_103,1,semantic_ir_repair,0.857,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_106,nlp4lp_test_106,0,tfidf_greedy,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_106,nlp4lp_test_106,0,constrained,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_106,nlp4lp_test_106,0,opt_role_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_106,nlp4lp_test_106,0,global_compat_full,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_106,nlp4lp_test_106,0,semantic_ir_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_110,nlp4lp_test_110,1,tfidf_greedy,1.000,0.778,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_110,nlp4lp_test_110,1,constrained,1.000,0.778,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_110,nlp4lp_test_110,1,opt_role_repair,1.000,0.778,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_110,nlp4lp_test_110,1,global_compat_full,1.000,0.778,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_110,nlp4lp_test_110,1,semantic_ir_repair,1.000,0.778,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_113,nlp4lp_test_113,1,tfidf_greedy,1.000,0.714,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_113,nlp4lp_test_113,1,constrained,1.000,0.714,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_113,nlp4lp_test_113,1,opt_role_repair,1.000,0.714,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_113,nlp4lp_test_113,1,global_compat_full,1.000,0.714,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_113,nlp4lp_test_113,1,semantic_ir_repair,1.000,0.714,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_116,nlp4lp_test_116,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_116,nlp4lp_test_116,1,constrained,1.000,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_116,nlp4lp_test_116,1,opt_role_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_116,nlp4lp_test_116,1,global_compat_full,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_116,nlp4lp_test_116,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_123,nlp4lp_test_123,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_123,nlp4lp_test_123,1,constrained,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_123,nlp4lp_test_123,1,opt_role_repair,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_123,nlp4lp_test_123,1,global_compat_full,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_123,nlp4lp_test_123,1,semantic_ir_repair,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_124,nlp4lp_test_124,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_124,nlp4lp_test_124,1,constrained,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_124,nlp4lp_test_124,1,opt_role_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_124,nlp4lp_test_124,1,global_compat_full,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_124,nlp4lp_test_124,1,semantic_ir_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_133,nlp4lp_test_133,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_133,nlp4lp_test_133,1,constrained,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_133,nlp4lp_test_133,1,opt_role_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_133,nlp4lp_test_133,1,global_compat_full,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_133,nlp4lp_test_133,1,semantic_ir_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_178,nlp4lp_test_178,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_178,nlp4lp_test_178,1,constrained,1.000,0.667,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_178,nlp4lp_test_178,1,opt_role_repair,1.000,0.667,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_178,nlp4lp_test_178,1,global_compat_full,1.000,0.667,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_178,nlp4lp_test_178,1,semantic_ir_repair,1.000,0.667,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_194,nlp4lp_test_194,0,tfidf_greedy,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_194,nlp4lp_test_194,0,constrained,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_194,nlp4lp_test_194,0,opt_role_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_194,nlp4lp_test_194,0,global_compat_full,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_194,nlp4lp_test_194,0,semantic_ir_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_197,nlp4lp_test_197,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_197,nlp4lp_test_197,1,constrained,1.000,0.000,1.000,0,type_mismatch
Blending / Diet / Feed Mix,nlp4lp_test_197,nlp4lp_test_197,1,opt_role_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_197,nlp4lp_test_197,1,global_compat_full,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_197,nlp4lp_test_197,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_198,nlp4lp_test_198,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_198,nlp4lp_test_198,1,constrained,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_198,nlp4lp_test_198,1,opt_role_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_198,nlp4lp_test_198,1,global_compat_full,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_198,nlp4lp_test_198,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_201,nlp4lp_test_201,0,tfidf_greedy,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_201,nlp4lp_test_201,0,constrained,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_201,nlp4lp_test_201,0,opt_role_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_201,nlp4lp_test_201,0,global_compat_full,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_201,nlp4lp_test_201,0,semantic_ir_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_231,nlp4lp_test_231,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_231,nlp4lp_test_231,1,constrained,1.000,0.500,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_231,nlp4lp_test_231,1,opt_role_repair,1.000,0.500,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_231,nlp4lp_test_231,1,global_compat_full,1.000,0.500,1.000,0,none
