query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,short,oracle,nlp4lp_test_0,nlp4lp_test_0,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_1,short,oracle,nlp4lp_test_1,nlp4lp_test_1,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_2,short,oracle,nlp4lp_test_2,nlp4lp_test_2,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_3,short,oracle,nlp4lp_test_3,nlp4lp_test_3,1,7,1,0.14285714285714285,0.0,0.0,0.0,1.0
nlp4lp_test_4,short,oracle,nlp4lp_test_4,nlp4lp_test_4,1,6,2,0.3333333333333333,0.0,0.0,0.0,1.0
nlp4lp_test_5,short,oracle,nlp4lp_test_5,nlp4lp_test_5,1,10,0,0.0,0.0,,,1.0
nlp4lp_test_6,short,oracle,nlp4lp_test_6,nlp4lp_test_6,1,8,2,0.25,0.5,0.5,0.5,1.0
nlp4lp_test_7,short,oracle,nlp4lp_test_7,nlp4lp_test_7,1,8,2,0.25,1.0,0.5,0.5,1.0
nlp4lp_test_8,short,oracle,nlp4lp_test_8,nlp4lp_test_8,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_9,short,oracle,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,short,oracle,nlp4lp_test_10,nlp4lp_test_10,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_11,short,oracle,nlp4lp_test_11,nlp4lp_test_11,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_12,short,oracle,nlp4lp_test_12,nlp4lp_test_12,1,2,0,0.0,0.0,,,1.0
nlp4lp_test_13,short,oracle,nlp4lp_test_13,nlp4lp_test_13,1,13,0,0.0,0.0,,,1.0
nlp4lp_test_14,short,oracle,nlp4lp_test_14,nlp4lp_test_14,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_15,short,oracle,nlp4lp_test_15,nlp4lp_test_15,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_16,short,oracle,nlp4lp_test_16,nlp4lp_test_16,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_17,short,oracle,nlp4lp_test_17,nlp4lp_test_17,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_18,short,oracle,nlp4lp_test_18,nlp4lp_test_18,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_19,short,oracle,nlp4lp_test_19,nlp4lp_test_19,1,4,1,0.25,1.0,0.0,0.0,1.0
nlp4lp_test_20,short,oracle,nlp4lp_test_20,nlp4lp_test_20,1,6,0,0.0,0.0,,,1.0
