query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,short,lsa,nlp4lp_test_236,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,short,lsa,nlp4lp_test_1,nlp4lp_test_1,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_2,short,lsa,nlp4lp_test_2,nlp4lp_test_2,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_3,short,lsa,nlp4lp_test_3,nlp4lp_test_3,1,7,1,0.14285714285714285,0.0,0.0,0.0,1.0
nlp4lp_test_4,short,lsa,nlp4lp_test_272,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,short,lsa,nlp4lp_test_117,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,short,lsa,nlp4lp_test_6,nlp4lp_test_6,1,8,2,0.25,0.5,0.5,0.5,1.0
nlp4lp_test_7,short,lsa,nlp4lp_test_7,nlp4lp_test_7,1,8,2,0.25,1.0,0.5,0.5,1.0
nlp4lp_test_8,short,lsa,nlp4lp_test_8,nlp4lp_test_8,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_9,short,lsa,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,short,lsa,nlp4lp_test_10,nlp4lp_test_10,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_11,short,lsa,nlp4lp_test_11,nlp4lp_test_11,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_12,short,lsa,nlp4lp_test_175,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,short,lsa,nlp4lp_test_13,nlp4lp_test_13,1,13,0,0.0,0.0,,,1.0
nlp4lp_test_14,short,lsa,nlp4lp_test_17,nlp4lp_test_14,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_15,short,lsa,nlp4lp_test_15,nlp4lp_test_15,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_16,short,lsa,nlp4lp_test_16,nlp4lp_test_16,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_17,short,lsa,nlp4lp_test_17,nlp4lp_test_17,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_18,short,lsa,nlp4lp_test_18,nlp4lp_test_18,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_19,short,lsa,nlp4lp_test_95,nlp4lp_test_19,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_20,short,lsa,nlp4lp_test_20,nlp4lp_test_20,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_21,short,lsa,nlp4lp_test_50,nlp4lp_test_21,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_22,short,lsa,nlp4lp_test_22,nlp4lp_test_22,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_23,short,lsa,nlp4lp_test_23,nlp4lp_test_23,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_24,short,lsa,nlp4lp_test_122,nlp4lp_test_24,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_25,short,lsa,nlp4lp_test_25,nlp4lp_test_25,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_26,short,lsa,nlp4lp_test_26,nlp4lp_test_26,1,8,1,0.125,1.0,1.0,1.0,1.0
nlp4lp_test_27,short,lsa,nlp4lp_test_27,nlp4lp_test_27,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_28,short,lsa,nlp4lp_test_28,nlp4lp_test_28,1,12,0,0.0,0.0,,,1.0
nlp4lp_test_29,short,lsa,nlp4lp_test_29,nlp4lp_test_29,1,6,1,0.16666666666666666,0.0,0.0,0.0,1.0
nlp4lp_test_30,short,lsa,nlp4lp_test_30,nlp4lp_test_30,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_31,short,lsa,nlp4lp_test_31,nlp4lp_test_31,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_32,short,lsa,nlp4lp_test_294,nlp4lp_test_32,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_33,short,lsa,nlp4lp_test_33,nlp4lp_test_33,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_34,short,lsa,nlp4lp_test_31,nlp4lp_test_34,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_35,short,lsa,nlp4lp_test_35,nlp4lp_test_35,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_36,short,lsa,nlp4lp_test_55,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
