query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,noisy,oracle,nlp4lp_test_0,nlp4lp_test_0,1,5,5,1.0,0.0,0.0,0.0,1.0
nlp4lp_test_1,noisy,oracle,nlp4lp_test_1,nlp4lp_test_1,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_2,noisy,oracle,nlp4lp_test_2,nlp4lp_test_2,1,8,7,0.875,0.0,0.0,0.0,1.0
nlp4lp_test_3,noisy,oracle,nlp4lp_test_3,nlp4lp_test_3,1,7,7,1.0,0.0,,,1.0
nlp4lp_test_4,noisy,oracle,nlp4lp_test_4,nlp4lp_test_4,1,6,4,0.6666666666666666,0.0,,,1.0
nlp4lp_test_5,noisy,oracle,nlp4lp_test_5,nlp4lp_test_5,1,10,9,0.9,0.0,0.0,0.0,1.0
nlp4lp_test_6,noisy,oracle,nlp4lp_test_6,nlp4lp_test_6,1,8,7,0.875,0.0,,,1.0
nlp4lp_test_7,noisy,oracle,nlp4lp_test_7,nlp4lp_test_7,1,8,8,1.0,0.0,,,1.0
nlp4lp_test_8,noisy,oracle,nlp4lp_test_8,nlp4lp_test_8,1,3,3,1.0,0.3333333333333333,0.0,0.0,1.0
nlp4lp_test_9,noisy,oracle,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,noisy,oracle,nlp4lp_test_10,nlp4lp_test_10,1,8,6,0.75,0.0,,,1.0
nlp4lp_test_11,noisy,oracle,nlp4lp_test_11,nlp4lp_test_11,1,8,8,1.0,0.25,0.0,0.0,1.0
nlp4lp_test_12,noisy,oracle,nlp4lp_test_12,nlp4lp_test_12,1,2,2,1.0,0.0,,,1.0
nlp4lp_test_13,noisy,oracle,nlp4lp_test_13,nlp4lp_test_13,1,13,11,0.8461538461538461,0.0,,,1.0
nlp4lp_test_14,noisy,oracle,nlp4lp_test_14,nlp4lp_test_14,1,5,1,0.2,0.0,,,1.0
nlp4lp_test_15,noisy,oracle,nlp4lp_test_15,nlp4lp_test_15,1,8,8,1.0,0.5,0.0,0.25,1.0
nlp4lp_test_16,noisy,oracle,nlp4lp_test_16,nlp4lp_test_16,1,8,6,0.75,0.0,,,1.0
nlp4lp_test_17,noisy,oracle,nlp4lp_test_17,nlp4lp_test_17,1,9,4,0.4444444444444444,0.0,,,1.0
nlp4lp_test_18,noisy,oracle,nlp4lp_test_18,nlp4lp_test_18,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_19,noisy,oracle,nlp4lp_test_19,nlp4lp_test_19,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_20,noisy,oracle,nlp4lp_test_20,nlp4lp_test_20,1,6,4,0.6666666666666666,0.0,,,1.0
nlp4lp_test_21,noisy,oracle,nlp4lp_test_21,nlp4lp_test_21,1,5,5,1.0,0.0,0.0,0.0,1.0
nlp4lp_test_22,noisy,oracle,nlp4lp_test_22,nlp4lp_test_22,1,3,3,1.0,0.3333333333333333,0.0,0.0,1.0
nlp4lp_test_23,noisy,oracle,nlp4lp_test_23,nlp4lp_test_23,1,3,3,1.0,0.3333333333333333,0.0,0.0,1.0
nlp4lp_test_24,noisy,oracle,nlp4lp_test_24,nlp4lp_test_24,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_25,noisy,oracle,nlp4lp_test_25,nlp4lp_test_25,1,2,2,1.0,0.0,,,1.0
nlp4lp_test_26,noisy,oracle,nlp4lp_test_26,nlp4lp_test_26,1,8,5,0.625,0.0,,,1.0
nlp4lp_test_27,noisy,oracle,nlp4lp_test_27,nlp4lp_test_27,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_28,noisy,oracle,nlp4lp_test_28,nlp4lp_test_28,1,12,9,0.75,0.0,,,1.0
nlp4lp_test_29,noisy,oracle,nlp4lp_test_29,nlp4lp_test_29,1,6,3,0.5,0.0,,,1.0
nlp4lp_test_30,noisy,oracle,nlp4lp_test_30,nlp4lp_test_30,1,7,7,1.0,0.0,,,1.0
nlp4lp_test_31,noisy,oracle,nlp4lp_test_31,nlp4lp_test_31,1,2,2,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_32,noisy,oracle,nlp4lp_test_32,nlp4lp_test_32,1,8,8,1.0,0.0,,,1.0
nlp4lp_test_33,noisy,oracle,nlp4lp_test_33,nlp4lp_test_33,1,8,7,0.875,0.0,,,1.0
nlp4lp_test_34,noisy,oracle,nlp4lp_test_34,nlp4lp_test_34,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_35,noisy,oracle,nlp4lp_test_35,nlp4lp_test_35,1,8,6,0.75,0.0,,,1.0
nlp4lp_test_36,noisy,oracle,nlp4lp_test_36,nlp4lp_test_36,1,2,2,1.0,0.0,,,1.0
nlp4lp_test_37,noisy,oracle,nlp4lp_test_37,nlp4lp_test_37,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_38,noisy,oracle,nlp4lp_test_38,nlp4lp_test_38,1,9,7,0.7777777777777778,0.0,,,1.0
nlp4lp_test_39,noisy,oracle,nlp4lp_test_39,nlp4lp_test_39,1,6,3,0.5,0.0,,,1.0
nlp4lp_test_40,noisy,oracle,nlp4lp_test_40,nlp4lp_test_40,1,8,8,1.0,0.25,0.0,0.0,1.0
nlp4lp_test_41,noisy,oracle,nlp4lp_test_41,nlp4lp_test_41,1,3,3,1.0,0.0,0.0,0.0,1.0
nlp4lp_test_42,noisy,oracle,nlp4lp_test_42,nlp4lp_test_42,1,8,8,1.0,0.125,0.0,0.0,1.0
nlp4lp_test_43,noisy,oracle,nlp4lp_test_43,nlp4lp_test_43,1,3,3,1.0,0.0,,,1.0
nlp4lp_test_44,noisy,oracle,nlp4lp_test_44,nlp4lp_test_44,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_45,noisy,oracle,nlp4lp_test_45,nlp4lp_test_45,1,9,9,1.0,0.0,,,1.0
nlp4lp_test_46,noisy,oracle,nlp4lp_test_46,nlp4lp_test_46,1,6,5,0.8333333333333334,0.0,,,1.0
nlp4lp_test_47,noisy,oracle,nlp4lp_test_47,nlp4lp_test_47,1,5,4,0.8,0.0,,,1.0
nlp4lp_test_48,noisy,oracle,nlp4lp_test_48,nlp4lp_test_48,1,7,5,0.7142857142857143,0.0,,,1.0
nlp4lp_test_49,noisy,oracle,nlp4lp_test_49,nlp4lp_test_49,1,6,3,0.5,0.0,,,1.0
nlp4lp_test_50,noisy,oracle,nlp4lp_test_50,nlp4lp_test_50,1,8,8,1.0,0.125,0.0,0.0,1.0
nlp4lp_test_51,noisy,oracle,nlp4lp_test_51,nlp4lp_test_51,1,3,3,1.0,0.0,,,1.0
nlp4lp_test_52,noisy,oracle,nlp4lp_test_52,nlp4lp_test_52,1,6,6,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_53,noisy,oracle,nlp4lp_test_53,nlp4lp_test_53,1,3,3,1.0,0.6666666666666666,0.0,0.0,1.0
nlp4lp_test_54,noisy,oracle,nlp4lp_test_54,nlp4lp_test_54,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_55,noisy,oracle,nlp4lp_test_55,nlp4lp_test_55,1,9,8,0.8888888888888888,0.0,,,1.0
nlp4lp_test_56,noisy,oracle,nlp4lp_test_56,nlp4lp_test_56,1,6,6,1.0,0.0,,,1.0
nlp4lp_test_57,noisy,oracle,nlp4lp_test_57,nlp4lp_test_57,1,5,5,1.0,0.2,0.0,0.0,1.0
nlp4lp_test_58,noisy,oracle,nlp4lp_test_58,nlp4lp_test_58,1,8,7,0.875,0.0,,,1.0
nlp4lp_test_59,noisy,oracle,nlp4lp_test_59,nlp4lp_test_59,1,6,5,0.8333333333333334,0.0,,,1.0
nlp4lp_test_60,noisy,oracle,nlp4lp_test_60,nlp4lp_test_60,1,8,8,1.0,0.125,0.0,0.0,1.0
nlp4lp_test_61,noisy,oracle,nlp4lp_test_61,nlp4lp_test_61,1,6,6,1.0,0.0,,,1.0
nlp4lp_test_62,noisy,oracle,nlp4lp_test_62,nlp4lp_test_62,1,6,6,1.0,0.0,,,1.0
