problem_id,slot,expected_type,gold_value,selected_raw,selected_value,selected_kind,selected_type_match,gold_extracted_initial,gold_available_at_slot,compatible_available_at_slot,candidates_initial,candidates_before_slot,root_cause
nlp4lp_test_14,TotalInvestment,currency,600000.0,"$600,000",600000.0,currency,1,1,1,1,5,5,OTHER
nlp4lp_test_14,MaxInvestmentApartments,currency,200000.0,"$200,000",200000.0,currency,1,1,1,1,5,4,OTHER
nlp4lp_test_14,MinInvestmentRatio,percent,0.5,half,0.5,percent,1,1,1,1,5,3,OTHER
nlp4lp_test_14,ReturnRateApartments,float,0.1,15%,0.15,percent,0,1,1,0,5,2,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_14,ReturnRateTownhouses,float,0.15,10%,0.1,percent,0,1,0,0,5,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_39,StaffShiftHours,float,6.0,1000,1000.0,int,1,1,1,1,6,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_39,StaffShiftPay,float,300.0,6,6.0,int,1,1,1,1,6,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_39,SubstituteShiftHours,float,3.0,3,3.0,int,1,1,1,1,6,4,OTHER
nlp4lp_test_39,SubstituteShiftPay,float,100.0,$40000,40000.0,currency,0,1,1,0,6,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_39,TotalTeachingHours,float,1000.0,$300,300.0,currency,0,1,0,0,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_39,TotalBudget,currency,40000.0,$100,100.0,currency,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_46,CashMachineProcessingRate,percent,20.0,500,500.0,int,0,1,1,0,6,6,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_46,CardMachineProcessingRate,percent,30.0,90,90.0,int,0,1,1,0,6,5,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_46,CashMachinePaperRolls,float,4.0,30,30.0,int,1,1,1,1,6,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_46,CardMachinePaperRolls,float,5.0,20,20.0,int,1,1,1,1,6,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_46,MinPeopleProcessed,float,500.0,5,5.0,int,1,1,0,1,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_46,MaxPaperRolls,float,90.0,4,4.0,int,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_47,GlassJarCapacity,float,250.0,20000,20000.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_47,PlasticJarCapacity,float,300.0,300,300.0,int,1,1,1,1,4,3,OTHER
nlp4lp_test_47,MinPlasticToGlassRatio,percent,2.0,250,250.0,int,0,0,0,0,4,2,NUMBER_NOT_EXTRACTED
nlp4lp_test_47,MinNumberGlassJars,int,20.0,20,20.0,int,1,1,1,1,4,1,OTHER
nlp4lp_test_47,TotalHoney,float,20000.0,,,,0,1,0,0,4,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_49,HoursSeasonal,float,6.0,300,300.0,int,1,1,1,1,6,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_49,PaymentSeasonal,float,120.0,10,10.0,int,1,1,1,1,6,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_49,HoursPermanent,float,10.0,6,6.0,int,1,1,0,1,6,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_49,PaymentPermanent,float,250.0,$6500,6500.0,currency,0,1,1,0,6,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_49,RequiredLaborHours,float,300.0,$250,250.0,currency,0,1,0,0,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_49,TotalBudget,currency,6500.0,$120,120.0,currency,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_66,DualStampRate,percent,50.0,300,300.0,int,0,1,1,0,6,6,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_66,DualGlueUsage,float,20.0,135,135.0,int,1,1,1,1,6,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_66,SingleStampRate,percent,30.0,50,50.0,int,0,1,1,0,6,4,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_66,SingleGlueUsage,float,15.0,30,30.0,int,1,1,1,1,6,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_66,MinTotalLetters,float,300.0,20,20.0,int,1,1,0,1,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_66,MaxGlueUsage,float,135.0,15,15.0,int,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_67,CapacitySmallCrate,percent,20.0,500,500.0,int,0,1,1,0,4,4,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_67,CapacityLargeCrate,percent,50.0,50,50.0,int,0,1,1,0,4,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_67,TotalBananas,float,500.0,20,20.0,int,1,1,0,1,4,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_67,MinSmallCrates,float,5.0,5,5.0,int,1,1,1,1,4,1,OTHER
nlp4lp_test_67,LargeToSmallRatio,percent,2.0,,,,0,0,0,0,4,0,NUMBER_NOT_EXTRACTED
nlp4lp_test_70,MotionActivatedDropRate,percent,50.0,40%,0.4,percent,1,1,1,1,14,14,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_70,MotionActivatedEnergyConsumption,float,30.0,1000,1000.0,int,1,1,1,1,14,13,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_70,ManualDropRate,percent,75.0,one.,1.0,int,0,1,1,0,14,12,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_70,ManualEnergyConsumption,float,20.0,500,500.0,int,1,1,1,1,14,11,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_70,MaxManualPercentage,percent,0.4,one,1.0,int,0,1,0,0,14,10,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_70,MinMotionActivatedMachines,int,3.0,75,75.0,int,1,1,1,1,14,9,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_70,MinTotalDrops,float,1000.0,50,50.0,int,1,1,0,1,14,8,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_70,MaxTotalEnergy,float,500.0,30,30.0,int,1,1,0,1,14,7,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_76,ManualSliceRate,percent,5.0,50,50.0,int,0,1,1,0,6,6,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_76,AutomaticSliceRate,percent,8.0,35,35.0,int,0,1,1,0,6,5,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_76,ManualGreaseRate,percent,3.0,8,8.0,int,0,1,1,0,6,4,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_76,AutomaticGreaseRate,percent,6.0,6,6.0,int,0,1,1,0,6,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_76,MinimumSlicesPerMinute,float,50.0,5,5.0,int,1,1,0,1,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_76,MaximumGreasePerMinute,float,35.0,3,3.0,int,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_79,FullTimeHoursPerShift,float,8.0,500,500.0,int,1,1,1,1,6,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_79,PartTimeHoursPerShift,float,4.0,8,8.0,int,1,1,1,1,6,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_79,FullTimePayPerShift,float,300.0,4,4.0,int,1,1,1,1,6,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_79,PartTimePayPerShift,float,100.0,$15000,15000.0,currency,0,1,1,0,6,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_79,LaborHoursRequired,float,500.0,$300,300.0,currency,0,1,0,0,6,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_79,TotalBudget,currency,15000.0,$100,100.0,currency,1,1,0,1,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_97,MedicinalIngredientPerRegularBatch,float,50.0,3500,3500.0,int,1,1,1,1,9,9,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_97,RehydrationProductPerRegularBatch,percent,40.0,3000,3000.0,int,0,1,1,0,9,8,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_97,MedicinalIngredientPerPremiumBatch,float,40.0,60,60.0,int,1,1,1,1,9,7,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_97,RehydrationProductPerPremiumBatch,percent,60.0,50,50.0,int,0,1,0,0,9,6,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_97,TotalMedicinalIngredients,int,3000.0,50,50.0,int,1,1,0,1,9,5,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_97,TotalRehydrationProduct,percent,3500.0,40,40.0,int,0,1,0,0,9,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_97,MinRegularBatches,int,10.0,40,40.0,int,1,1,1,1,9,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_97,PeopleTreatedPerRegularBatch,float,50.0,30,30.0,int,1,1,0,1,9,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_97,PeopleTreatedPerPremiumBatch,float,30.0,10,10.0,int,1,1,0,1,9,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_98,AutomaticMachineTimePerPatient,float,10.0,20000,20000.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_98,ManualMachineTimePerPatient,float,15.0,20,20.0,int,1,1,1,1,4,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_98,ManualPatientMinRatio,percent,2.0,15,15.0,int,0,0,0,0,4,2,NUMBER_NOT_EXTRACTED
nlp4lp_test_98,AutomaticMachineMinimumPatients,int,20.0,10,10.0,int,1,1,0,1,4,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_98,TotalAvailableTime,float,20000.0,,,,0,1,0,0,4,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_101,NumDemonstrations,percent,2.0,1,1.0,int,0,1,1,0,18,18,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_101,TotalMintAvailable,float,120.0,120,120.0,int,1,1,1,1,18,17,OTHER
nlp4lp_test_101,TotalActiveIngredientAvailable,float,100.0,100,100.0,int,1,1,1,1,18,16,OTHER
nlp4lp_test_101,MaxBlackTarAllowed,float,50.0,50,50.0,int,1,1,1,1,18,15,OTHER
nlp4lp_test_109,Machine1HeartDeliveryRate,percent,0.5,1,1.0,int,0,1,1,0,15,15,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,Machine1BrainDeliveryRate,percent,0.8,1,1.0,int,0,1,1,0,15,14,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,Machine1WasteRate,percent,0.3,1,1.0,int,0,1,1,0,15,13,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,Machine2HeartDeliveryRate,percent,0.3,1,1.0,int,0,1,1,0,15,12,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,Machine2BrainDeliveryRate,percent,1.0,0.8,0.8,float,0,1,0,0,15,11,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_109,Machine2WasteRate,percent,0.5,0.5,0.5,float,0,1,1,0,15,10,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,HeartMedicineMax,float,8.0,8,8.0,int,1,1,1,1,15,9,OTHER
nlp4lp_test_109,BrainMedicineMin,float,4.0,4,4.0,int,1,1,1,1,15,8,OTHER
nlp4lp_test_116,NumNutTypes,int,2.0,10000,10000.0,int,1,0,0,1,8,8,NUMBER_NOT_EXTRACTED
nlp4lp_test_116,ServingRatioMultiplier,percent,2.0,800,800.0,int,0,0,0,0,8,7,NUMBER_NOT_EXTRACTED
nlp4lp_test_116,CalorieRequirement,float,10000.0,300,300.0,int,1,1,0,1,8,6,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_116,ProteinRequirement,float,800.0,200,200.0,int,1,1,0,1,8,5,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_118,TimeThroatSwab,float,5.0,20000,20000.0,int,1,1,1,1,5,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_118,TimeNasalSwab,float,3.0,30,30.0,int,1,1,1,1,5,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_118,MinimumNasalSwabs,float,30.0,5,5.0,int,1,1,0,1,5,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_118,ThroatToNasalRatio,percent,4.0,4,4.0,int,0,1,1,0,5,2,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_118,TotalOperationalTime,percent,20000.0,3,3.0,int,0,1,0,0,5,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_128,TimeSpitTest,float,10.0,8000,8000.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_128,TimeSwabTest,float,15.0,20,20.0,int,1,1,1,1,4,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_128,MinRatioSpitToSwab,percent,2.0,15,15.0,int,0,0,0,0,4,2,NUMBER_NOT_EXTRACTED
nlp4lp_test_128,MinSwabTests,float,20.0,10,10.0,int,1,1,0,1,4,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_128,TotalOperatingTime,float,8000.0,,,,0,1,0,0,4,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_156,SmallWagonCapacity,float,20.0,2000,2000.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_156,LargeWagonCapacity,float,50.0,50,50.0,int,1,1,1,1,4,3,OTHER
nlp4lp_test_156,MinSmallToLargeRatio,percent,2.0,20,20.0,int,0,0,0,0,4,2,NUMBER_NOT_EXTRACTED
nlp4lp_test_156,MinLargeWagons,float,10.0,10,10.0,int,1,1,1,1,4,1,OTHER
nlp4lp_test_156,TotalOre,float,2000.0,,,,0,1,0,0,4,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_165,SmallJarCapacity,float,50.0,100000,100000.0,int,1,1,1,1,3,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_165,LargeJarCapacity,float,200.0,200,200.0,int,1,1,1,1,3,2,OTHER
nlp4lp_test_165,MinJamVolume,float,100000.0,50,50.0,int,1,1,0,1,3,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_165,MaxLargeJarsRatio,percent,1.0,,,,0,0,0,0,3,0,INSUFFICIENT_NUMERIC_MENTIONS
nlp4lp_test_166,TractorCapacity,float,40.0,500,500.0,int,1,1,1,1,3,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_166,CarCapacity,float,20.0,40,40.0,int,1,1,1,1,3,2,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_166,MinimumCarMultiplier,float,2.0,20,20.0,int,1,0,0,1,3,1,NUMBER_NOT_EXTRACTED
nlp4lp_test_166,MinimumCornToSend,float,500.0,,,,0,1,0,0,3,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_175,BrickCapacityCow,float,20.0,1000,1000.0,int,1,1,1,1,3,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_175,BrickCapacityElephant,float,50.0,50,50.0,int,1,1,1,1,3,2,OTHER
nlp4lp_test_175,MaxElephantsToCowsRatio,percent,1.0,20,20.0,int,0,0,0,0,3,1,INSUFFICIENT_NUMERIC_MENTIONS
nlp4lp_test_175,MaxCowsToElephantsRatio,percent,2.0,,,,0,0,0,0,3,0,NUMBER_NOT_EXTRACTED
nlp4lp_test_175,RequiredBricks,float,1000.0,,,,0,1,0,0,3,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_186,CanoeCapacity,float,10.0,1000,1000.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_186,DieselBoatCapacity,float,15.0,15,15.0,int,1,1,1,1,4,3,OTHER
nlp4lp_test_186,CanoeToBoatRatio,percent,3.0,10,10.0,int,0,1,1,0,4,2,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_186,MinFish,float,1000.0,3,3.0,int,1,1,0,1,4,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_195,CostPlushToy,currency,3.0,$700,700.0,currency,1,1,1,1,7,7,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_195,CostDoll,currency,2.0,$4,4.0,currency,1,1,1,1,7,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_195,InventoryBudget,currency,700.0,$3,3.0,currency,1,1,0,1,7,5,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_195,ProfitPlushToy,currency,4.0,$2,2.0,currency,1,1,0,1,7,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_195,ProfitDoll,currency,2.0,$2,2.0,currency,1,1,1,1,7,3,OTHER
nlp4lp_test_195,MinPlushSold,float,90.0,190,190.0,int,1,1,1,1,7,2,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_195,MaxPlushSold,float,190.0,90,90.0,int,1,1,0,1,7,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_195,MaxDollToPlushRatio,percent,2.0,,,,0,1,0,0,7,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_203,TotalMoney,float,100000.0,two,2.0,int,1,1,1,1,9,9,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_203,NumBets,int,3.0,$100000,100000.0,currency,0,0,0,0,9,8,INSUFFICIENT_NUMERIC_MENTIONS
nlp4lp_test_203,MaxAverageLossProbability,float,0.3,$1.2,1.2,currency,0,1,1,0,9,7,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_204,InspectionTimeWashingMachine,float,30.0,20000,20000.0,int,1,1,1,1,8,8,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_204,FixingTimeWashingMachine,float,90.0,5000,5000.0,int,1,1,1,1,8,7,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_204,InspectionTimeFreezer,float,20.0,125,125.0,int,1,1,1,1,8,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_204,FixingTimeFreezer,float,125.0,90,90.0,int,1,1,0,1,8,5,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_204,TotalInspectionTime,float,5000.0,30,30.0,int,1,1,0,1,8,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_204,TotalScheduleTime,float,20000.0,20,20.0,int,1,1,0,1,8,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_204,EarningsPerWashingMachine,float,250.0,$375,375.0,currency,0,1,1,0,8,2,WRONG_EXPECTED_SLOT_TYPE
