query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,noisy,tfidf_hierarchical_acceptance_rerank,investment_lp,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_1,nlp4lp_test_1,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_2,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_2,nlp4lp_test_2,1,8,7,0.875,0.0,0.0,0.0,1.0
nlp4lp_test_3,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_3,nlp4lp_test_3,1,7,7,1.0,0.0,,,1.0
nlp4lp_test_4,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_306,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_2,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_6,nlp4lp_test_6,1,8,7,0.875,0.0,,,1.0
nlp4lp_test_7,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_7,nlp4lp_test_7,1,8,8,1.0,0.0,,,1.0
nlp4lp_test_8,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_8,nlp4lp_test_8,1,3,3,1.0,0.3333333333333333,1.0,1.0,1.0
nlp4lp_test_9,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_10,nlp4lp_test_10,1,8,6,0.75,0.0,,,1.0
nlp4lp_test_11,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_11,nlp4lp_test_11,1,8,8,1.0,0.0,0.0,0.0,1.0
nlp4lp_test_12,noisy,tfidf_hierarchical_acceptance_rerank,diet_lp,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_13,nlp4lp_test_13,1,13,11,0.8461538461538461,0.0,,,1.0
nlp4lp_test_14,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_14,nlp4lp_test_14,1,5,1,0.2,0.0,,,1.0
nlp4lp_test_15,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_306,nlp4lp_test_15,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_16,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_16,nlp4lp_test_16,1,8,6,0.75,0.0,,,1.0
nlp4lp_test_17,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_17,nlp4lp_test_17,1,9,4,0.4444444444444444,0.0,,,1.0
nlp4lp_test_18,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_18,nlp4lp_test_18,1,2,2,1.0,0.5,1.0,1.0,1.0
nlp4lp_test_19,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_19,nlp4lp_test_19,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_20,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_20,nlp4lp_test_20,1,6,4,0.6666666666666666,0.0,,,1.0
nlp4lp_test_21,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_21,nlp4lp_test_21,1,5,5,1.0,0.0,0.0,0.0,1.0
nlp4lp_test_22,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_22,nlp4lp_test_22,1,3,3,1.0,0.3333333333333333,1.0,1.0,1.0
nlp4lp_test_23,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_23,nlp4lp_test_23,1,3,3,1.0,0.3333333333333333,1.0,1.0,1.0
nlp4lp_test_24,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_24,nlp4lp_test_24,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_25,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_25,nlp4lp_test_25,1,2,2,1.0,0.0,,,1.0
nlp4lp_test_26,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_26,nlp4lp_test_26,1,8,5,0.625,0.0,,,1.0
nlp4lp_test_27,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_27,nlp4lp_test_27,1,2,2,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_28,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_28,nlp4lp_test_28,1,12,9,0.75,0.0,,,1.0
nlp4lp_test_29,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_29,nlp4lp_test_29,1,6,3,0.5,0.0,,,1.0
nlp4lp_test_30,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_273,nlp4lp_test_30,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_31,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_31,nlp4lp_test_31,1,2,2,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_32,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_306,nlp4lp_test_32,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_33,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_306,nlp4lp_test_33,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_34,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_34,nlp4lp_test_34,1,4,4,1.0,0.0,,,1.0
nlp4lp_test_35,noisy,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_35,nlp4lp_test_35,1,8,6,0.75,0.0,,,1.0
