query_id,variant,method,schema_hit,schema_miss,n_expected_scalar,n_filled,full_coverage,all_types_correct,inst_ready,any_type_mismatch,any_slot_comparable,param_coverage,type_match,n_numeric_mentions,ambiguity_bucket,slot_count_bucket,predicted_doc_id,gold_doc_id,query_text_preview
nlp4lp_test_0,orig,tfidf,1,0,5,5,1,0,1,1,1,1.0000,0.8000,5,medium,4+,nlp4lp_test_0,nlp4lp_test_0,Mrs. Watson wants to invest in the real-estate market and has a total budget of at most $760000. She has two choices whi
nlp4lp_test_1,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_1,nlp4lp_test_1,A breakfast joint makes two different sandwiches: a regular and a special. Both need eggs and bacon. Each regular sandwi
nlp4lp_test_2,orig,tfidf,1,0,8,7,0,0,1,1,1,0.8750,0.8571,10,high,4+,nlp4lp_test_2,nlp4lp_test_2,A cleaning company located in Edmonton wants to get the best exposure possible for promoting their new dishwashing deter
nlp4lp_test_3,orig,tfidf,1,0,7,7,1,0,1,1,1,1.0000,0.8571,7,high,4+,nlp4lp_test_3,nlp4lp_test_3,There is 1000 mg of gold available that is needed to make long and short cables. Long cables require 10 mg of gold while
nlp4lp_test_4,orig,tfidf,0,1,0,0,1,0,0,0,0,0.0000,0.0000,5,medium,0,nlp4lp_test_41,nlp4lp_test_4,A store employs senior citizens who earn $500 per week and young adults who earn $750 per week. The store must keep the 
nlp4lp_test_5,orig,tfidf,1,0,10,10,1,0,1,1,1,1.0000,0.8000,8,high,4+,nlp4lp_test_5,nlp4lp_test_5,"A company is deciding where to promote their product. Some options include z-tube, soorchle engine, and wassa advertisem"
nlp4lp_test_6,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_6,nlp4lp_test_6,"A chair produced by Elm Furniture yields a profit of $43, while every dresser yields a $52 profit. Each week, 17 gallons"
nlp4lp_test_7,orig,tfidf,1,0,8,8,1,1,1,0,1,1.0000,1.0000,8,high,4+,nlp4lp_test_7,nlp4lp_test_7,"A farmer wants to mix his animal feeds, Feed A and Feed B, in such a way that the mixture will contain a minimum of 30 u"
nlp4lp_test_8,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_8,nlp4lp_test_8,An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires 50 minutes of shaping
nlp4lp_test_9,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_9,nlp4lp_test_9,"A grocery store wants to liquidate its stock of 10 apples, 20 bananas, and 80 grapes. Given past experience, the store k"
