Installing training deps (datasets, accelerate)...
accelerate 1.12.0
Generating training samples (150 per problem + real-world queries)...
Wrote 80297 pairs to data/processed/training_pairs.jsonl (150 per problem target)
Starting fine-tuning (GPU, batch_size=16 for stability)...
Loaded 80297 training pairs
{'loss': '0.1105', 'grad_norm': '2.088', 'learning_rate': '1.99e-05', 'epoch': '0.009962'}
{'loss': '0.06234', 'grad_norm': '6.985', 'learning_rate': '1.98e-05', 'epoch': '0.01992'}
{'loss': '0.05767', 'grad_norm': '0.1962', 'learning_rate': '1.97e-05', 'epoch': '0.02989'}
{'loss': '0.02212', 'grad_norm': '4.636', 'learning_rate': '1.96e-05', 'epoch': '0.03985'}
{'loss': '0.0305', 'grad_norm': '0.2248', 'learning_rate': '1.95e-05', 'epoch': '0.04981'}
{'loss': '0.03756', 'grad_norm': '0.1029', 'learning_rate': '1.94e-05', 'epoch': '0.05977'}
{'loss': '0.02661', 'grad_norm': '8.459', 'learning_rate': '1.93e-05', 'epoch': '0.06974'}
{'loss': '0.0313', 'grad_norm': '7.667', 'learning_rate': '1.921e-05', 'epoch': '0.0797'}
{'loss': '0.02693', 'grad_norm': '0.1513', 'learning_rate': '1.911e-05', 'epoch': '0.08966'}
{'loss': '0.01442', 'grad_norm': '0.569', 'learning_rate': '1.901e-05', 'epoch': '0.09962'}
{'loss': '0.0118', 'grad_norm': '2.131', 'learning_rate': '1.891e-05', 'epoch': '0.1096'}
{'loss': '0.01989', 'grad_norm': '0.595', 'learning_rate': '1.881e-05', 'epoch': '0.1195'}
{'loss': '0.03806', 'grad_norm': '1.71', 'learning_rate': '1.871e-05', 'epoch': '0.1295'}
{'loss': '0.02873', 'grad_norm': '0.1432', 'learning_rate': '1.861e-05', 'epoch': '0.1395'}
{'loss': '0.02447', 'grad_norm': '0.09368', 'learning_rate': '1.851e-05', 'epoch': '0.1494'}
{'loss': '0.02559', 'grad_norm': '0.0932', 'learning_rate': '1.841e-05', 'epoch': '0.1594'}
{'loss': '0.02445', 'grad_norm': '0.01628', 'learning_rate': '1.831e-05', 'epoch': '0.1694'}
{'loss': '0.04021', 'grad_norm': '0.9382', 'learning_rate': '1.821e-05', 'epoch': '0.1793'}
{'loss': '0.03276', 'grad_norm': '0.4591', 'learning_rate': '1.811e-05', 'epoch': '0.1893'}
{'loss': '0.01594', 'grad_norm': '0.1736', 'learning_rate': '1.801e-05', 'epoch': '0.1992'}
{'loss': '0.02304', 'grad_norm': '5.376', 'learning_rate': '1.791e-05', 'epoch': '0.2092'}
{'loss': '0.01334', 'grad_norm': '0.004066', 'learning_rate': '1.781e-05', 'epoch': '0.2192'}
{'loss': '0.02474', 'grad_norm': '1.242', 'learning_rate': '1.771e-05', 'epoch': '0.2291'}
{'loss': '0.01257', 'grad_norm': '0.04872', 'learning_rate': '1.761e-05', 'epoch': '0.2391'}
{'loss': '0.02394', 'grad_norm': '0.03933', 'learning_rate': '1.751e-05', 'epoch': '0.2491'}
{'loss': '0.02168', 'grad_norm': '2.487', 'learning_rate': '1.741e-05', 'epoch': '0.259'}
{'loss': '0.02843', 'grad_norm': '0.04201', 'learning_rate': '1.731e-05', 'epoch': '0.269'}
{'loss': '0.02409', 'grad_norm': '2.271', 'learning_rate': '1.721e-05', 'epoch': '0.2789'}
{'loss': '0.02163', 'grad_norm': '0.2718', 'learning_rate': '1.711e-05', 'epoch': '0.2889'}
{'loss': '0.01776', 'grad_norm': '10.1', 'learning_rate': '1.701e-05', 'epoch': '0.2989'}
