case_id,category,has_gold_values,copilot_pending,our_model_schema_correct,our_model_grounding_coverage,our_model_type_correct,our_model_objective_dir,our_model_no_hallucination,our_model_overall,our_model_value_exact,copilot_schema_correct,copilot_grounding_coverage,copilot_type_correct,copilot_objective_dir,copilot_no_hallucination,copilot_overall,copilot_value_exact,winner,notes
nlp4lp_test_0,"percent,total_vs_per_unit,bounds,float_heavy",0,1,1.0,1.0,0.8,1.0,1.0,0.96,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_5,"percent,bounds",0,1,1.0,0.8,1.0,1.0,1.0,0.93,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_14,"percent,bounds",0,1,1.0,0.667,1.0,1.0,1.0,0.883,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_17,"percent,bounds",0,1,1.0,0.636,0.857,1.0,1.0,0.844,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_73,total_vs_per_unit,0,1,1.0,0.8,1.0,1.0,1.0,0.93,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_89,"total_vs_per_unit,bounds,float_heavy",0,1,1.0,0.857,1.0,1.0,1.0,0.95,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_109,"total_vs_per_unit,bounds,float_heavy",0,1,1.0,0.7,0.857,1.0,1.0,0.866,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_123,"total_vs_per_unit,bounds",0,1,1.0,0.833,0.8,1.0,1.0,0.902,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_2,bounds,0,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_3,bounds,0,1,1.0,0.556,0.8,1.0,1.0,0.804,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_4,bounds,0,1,0.0,0.0,1.0,1.0,1.0,0.35,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_6,"bounds,float_heavy",0,1,1.0,0.875,1.0,0.5,1.0,0.906,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_18,float_heavy,0,1,1.0,0.8,1.0,1.0,1.0,0.93,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_192,float_heavy,0,1,1.0,0.6,1.0,1.0,1.0,0.86,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_209,float_heavy,0,1,1.0,0.556,1.0,1.0,1.0,0.844,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_303,float_heavy,0,1,1.0,0.5,1.0,1.0,1.0,0.825,,0.0,0.0,0.0,1.0,1.0,0.15,,pending,copilot_manual_pending
nlp4lp_test_1,general,0,1,1.0,0.6,1.0,1.0,1.0,0.86,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_8,general,0,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_9,general,0,1,1.0,0.6,1.0,1.0,1.0,0.86,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_12,general,0,1,0.0,0.0,0.75,1.0,1.0,0.3,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_0_short,"total_vs_per_unit,bounds,short",0,1,0.0,0.0,1.0,1.0,1.0,0.35,,0.0,0.0,0.0,1.0,1.0,0.15,,pending,copilot_manual_pending
nlp4lp_test_0_noisy,"total_vs_per_unit,bounds,noisy",0,1,0.5,0.0,0.0,1.0,1.0,0.3,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_5_short,"general,short",0,1,0.0,0.0,0.0,1.0,1.0,0.15,,0.0,0.0,0.0,1.0,1.0,0.15,,pending,copilot_manual_pending
nlp4lp_test_5_noisy,"general,noisy",0,1,1.0,0.0,0.0,1.0,1.0,0.45,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
nlp4lp_test_14_short,"general,short",0,1,0.0,0.0,0.0,1.0,1.0,0.15,,0.0,0.0,0.0,1.0,1.0,0.15,,pending,copilot_manual_pending
nlp4lp_test_14_noisy,"general,noisy",0,1,1.0,0.0,0.0,1.0,1.0,0.45,,0.0,0.0,0.0,0.0,1.0,0.05,,pending,copilot_manual_pending
handcrafted_01_product_mix,"total_vs_per_unit,bounds,float_heavy",1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.85,1.0,our_model,
handcrafted_02_diet_problem,"float_heavy,bounds",1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.85,1.0,our_model,
handcrafted_03_investment_percent,"percent,total_vs_per_unit,bounds,float_heavy",1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.85,1.0,our_model,
handcrafted_04_transport,"bounds,total_vs_per_unit",1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.85,1.0,our_model,
