system,problem_id,native_failure_category,top_level_category
pamop,14,A. SUCCESS_NO_CORRECTION,none
pamop,23,A. SUCCESS_NO_CORRECTION,none
pamop,34,A. SUCCESS_NO_CORRECTION,none
pamop,72,A. SUCCESS_NO_CORRECTION,none
pamop,84,E. AMPL_PARSE_FAILURE,parse_failure
pamop,88,A. SUCCESS_NO_CORRECTION,none
pamop,59,B. SUCCESS_AFTER_CORRECTION,none
pamop,69,B. SUCCESS_AFTER_CORRECTION,none
pamop,96,A. SUCCESS_NO_CORRECTION,none
pamop,117,E. AMPL_PARSE_FAILURE,parse_failure
pamop,190,E. AMPL_PARSE_FAILURE,parse_failure
pamop,202,A. SUCCESS_NO_CORRECTION,none
pamop,208,A. SUCCESS_NO_CORRECTION,none
pamop,219,B. SUCCESS_AFTER_CORRECTION,none
pamop,232,E. AMPL_PARSE_FAILURE,parse_failure
pamop,237,B. SUCCESS_AFTER_CORRECTION,none
pamop,254,A. SUCCESS_NO_CORRECTION,none
pamop,262,E. AMPL_PARSE_FAILURE,parse_failure
