source_name,source_url,source_type,license_status,outcome,items_collected,notes
OptMATH Benchmark,https://github.com/optsuite/OptMATH,benchmark,public (research use; see repo LICENSE),collected,166,"166 NL optimization problem descriptions with numeric parameters; diverse families (job shop, aircraft landing, TSP, facility location, etc.)."
NL4Opt Competition,https://github.com/nl4opt/nl4opt-competition,competition_dataset,MIT,collected,120,NL + structured LP formulations. train/dev/test splits. Representative sample (40 per split) collected.
ORQA (OR Question Answering),https://github.com/nl4opt/ORQA,qa_benchmark,public (research use; see repo),collected,100,OR question-answering dataset with scenario context + typed questions. Sampled 5 per question type from test and validation splits.
Gurobi Modeling Examples,https://github.com/Gurobi/modeling-examples,model_library,Apache-2.0,collected,24,README NL descriptions only; no numeric parameters. Full notebooks require Gurobi license to run. Descriptions collected as concept-level problem statements.
DCP-Bench-Open (sample_test.jsonl),https://github.com/DCP-Bench/DCP-Bench-Open,benchmark,Apache-2.0,accessible_not_useful,0,"sample_test.jsonl only contains 5 items that are solver code (CPMPy models), not NL problem statements. Full dataset is not available in the public repo sample. Skipped — no NL descriptions in the accessible portion."
MAMO (FreedomIntelligence/Mamo),https://github.com/FreedomIntelligence/Mamo,benchmark,unknown (see repo),inaccessible,0,HTTP 404 for expected data path benchmark/MathBench.json. Repository structure may have changed since last update. Not collected.
NEOS Guide Case Studies,https://neos-guide.org/,case_studies,public (educational),inaccessible,0,DNS resolution failed for neos-guide.org in this environment (no address associated with hostname). Source is publicly accessible in normal internet conditions. Cannot collect in sandboxed environment.
MIT OpenCourseWare (15.053 Optimization Methods),https://ocw.mit.edu/courses/15-053-optimization-methods-in-management-science-spring-2013/,course_notes,CC BY-NC-SA 4.0,inaccessible,0,DNS resolution failed for ocw.mit.edu in sandboxed environment. Problem sets and lecture notes are publicly available at the URL above under CC BY-NC-SA 4.0 in normal conditions.
GAMS Model Library (web catalog),https://www.gams.com/latest/gamslib_ml/libhtml/,model_library,GAMS proprietary (models publicly described),inaccessible,0,DNS resolution failed for www.gams.com in sandboxed environment. Web catalog is publicly viewable. Model list already captured in data/sources/gams_models.json.
OR-Library (J.E. Beasley),http://people.brunel.ac.uk/~mastjjb/jeb/info.html,test_data_sets,public domain / free research use,inaccessible,0,DNS resolution failed in sandboxed environment. Provides test instance data files (not NL descriptions). Problem type metadata already captured in data/sources/or_library.json.
LibreTexts Mathematics (LP/OR chapters),https://math.libretexts.org/,open_textbook,CC BY-SA 4.0,inaccessible,0,DNS resolution failed in sandboxed environment. Open textbook platform with LP/OR examples under CC BY-SA 4.0.
AMPL Book Examples,https://ampl.com/resources/the-ampl-book/,textbook,free to view online (proprietary book),inaccessible,0,DNS resolution failed in sandboxed environment. Book is freely viewable online (PDF). Problem statements would require paraphrasing (copyrighted).
Pyomo Documentation Examples,https://pyomo.readthedocs.io/,documentation,BSD-3-Clause,accessible_not_useful,0,"Pyomo docs provide solver code, not NL problem statements. Metadata already in data/sources/pyomo_examples.json."
CSPLib (Constraint Satisfaction Problem Library),https://www.csplib.org/,benchmark_library,CC BY 4.0,inaccessible,0,DNS resolution failed in sandboxed environment. Provides CP problem descriptions; would be useful for constraint-focus.
MiniZinc Challenge Benchmark,https://github.com/MiniZinc/minizinc-benchmarks,benchmark,MIT,accessible_not_useful,0,Contains .mzn/.dzn constraint models without natural-language problem descriptions. Not useful for NL-to-formulation tasks.
MIPLIB 2017,https://miplib.zib.de/,benchmark_instances,public (see individual instance licenses),inaccessible,0,"DNS resolution failed in sandboxed environment. Provides MPS/LP instance files, not NL descriptions. Metadata in data/sources/miplib.json."
