query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,orig,openai,nlp4lp_test_0,nlp4lp_test_0,1,5,5,1.0,1.0,0.8,0.8,1.0
nlp4lp_test_1,orig,openai,nlp4lp_test_1,nlp4lp_test_1,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_2,orig,openai,nlp4lp_test_2,nlp4lp_test_2,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_3,orig,openai,nlp4lp_test_3,nlp4lp_test_3,1,7,7,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0
nlp4lp_test_4,orig,openai,nlp4lp_test_4,nlp4lp_test_4,1,6,6,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0
nlp4lp_test_5,orig,openai,nlp4lp_test_212,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,orig,openai,nlp4lp_test_6,nlp4lp_test_6,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_7,orig,openai,nlp4lp_test_7,nlp4lp_test_7,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_8,orig,openai,nlp4lp_test_8,nlp4lp_test_8,1,3,3,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_9,orig,openai,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_10,orig,openai,nlp4lp_test_10,nlp4lp_test_10,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_11,orig,openai,nlp4lp_test_11,nlp4lp_test_11,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_12,orig,openai,nlp4lp_test_12,nlp4lp_test_12,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_13,orig,openai,nlp4lp_test_13,nlp4lp_test_13,1,13,13,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_14,orig,openai,nlp4lp_test_14,nlp4lp_test_14,1,5,5,1.0,1.0,0.4,0.4,1.0
nlp4lp_test_15,orig,openai,nlp4lp_test_15,nlp4lp_test_15,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_16,orig,openai,nlp4lp_test_16,nlp4lp_test_16,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_17,orig,openai,nlp4lp_test_17,nlp4lp_test_17,1,9,9,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0
nlp4lp_test_18,orig,openai,nlp4lp_test_18,nlp4lp_test_18,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_19,orig,openai,nlp4lp_test_19,nlp4lp_test_19,1,4,3,0.75,1.0,1.0,1.0,1.0
nlp4lp_test_20,orig,openai,nlp4lp_test_20,nlp4lp_test_20,1,6,6,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_21,orig,openai,nlp4lp_test_21,nlp4lp_test_21,1,5,5,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_22,orig,openai,nlp4lp_test_22,nlp4lp_test_22,1,3,3,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_23,orig,openai,nlp4lp_test_23,nlp4lp_test_23,1,3,2,0.6666666666666666,1.0,1.0,1.0,1.0
nlp4lp_test_24,orig,openai,nlp4lp_test_24,nlp4lp_test_24,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_25,orig,openai,nlp4lp_test_25,nlp4lp_test_25,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_26,orig,openai,nlp4lp_test_26,nlp4lp_test_26,1,8,8,1.0,1.0,0.875,0.875,1.0
nlp4lp_test_27,orig,openai,nlp4lp_test_27,nlp4lp_test_27,1,2,2,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_28,orig,openai,nlp4lp_test_28,nlp4lp_test_28,1,12,12,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_29,orig,openai,nlp4lp_test_29,nlp4lp_test_29,1,6,6,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0
nlp4lp_test_30,orig,openai,nlp4lp_test_30,nlp4lp_test_30,1,7,7,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_31,orig,openai,nlp4lp_test_31,nlp4lp_test_31,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_32,orig,openai,nlp4lp_test_32,nlp4lp_test_32,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_33,orig,openai,nlp4lp_test_33,nlp4lp_test_33,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_34,orig,openai,nlp4lp_test_34,nlp4lp_test_34,1,4,3,0.75,1.0,1.0,1.0,1.0
nlp4lp_test_35,orig,openai,nlp4lp_test_35,nlp4lp_test_35,1,8,8,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_36,orig,openai,nlp4lp_test_55,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_37,orig,openai,nlp4lp_test_37,nlp4lp_test_37,1,2,2,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_38,orig,openai,nlp4lp_test_38,nlp4lp_test_38,1,9,9,1.0,1.0,1.0,1.0,1.0
nlp4lp_test_39,orig,openai,nlp4lp_test_39,nlp4lp_test_39,1,6,6,1.0,1.0,1.0,1.0,1.0
