query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,short,openai,nlp4lp_test_14,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,short,openai,nlp4lp_test_1,nlp4lp_test_1,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_2,short,openai,nlp4lp_test_2,nlp4lp_test_2,1,8,1,0.125,1.0,1.0,1.0,1.0
nlp4lp_test_3,short,openai,nlp4lp_test_3,nlp4lp_test_3,1,7,1,0.14285714285714285,1.0,1.0,1.0,1.0
nlp4lp_test_4,short,openai,nlp4lp_test_4,nlp4lp_test_4,1,6,2,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_5,short,openai,nlp4lp_test_2,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,short,openai,nlp4lp_test_6,nlp4lp_test_6,1,8,2,0.25,1.0,1.0,1.0,1.0
nlp4lp_test_7,short,openai,nlp4lp_test_7,nlp4lp_test_7,1,8,2,0.25,1.0,1.0,1.0,1.0
nlp4lp_test_8,short,openai,nlp4lp_test_8,nlp4lp_test_8,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_9,short,openai,nlp4lp_test_9,nlp4lp_test_9,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_10,short,openai,nlp4lp_test_10,nlp4lp_test_10,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_11,short,openai,nlp4lp_test_11,nlp4lp_test_11,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_12,short,openai,nlp4lp_test_12,nlp4lp_test_12,1,2,0,0.0,0.0,,,1.0
nlp4lp_test_13,short,openai,nlp4lp_test_13,nlp4lp_test_13,1,13,0,0.0,0.0,,,1.0
nlp4lp_test_14,short,openai,nlp4lp_test_14,nlp4lp_test_14,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_15,short,openai,nlp4lp_test_15,nlp4lp_test_15,1,8,2,0.25,1.0,0.0,0.0,1.0
nlp4lp_test_16,short,openai,nlp4lp_test_16,nlp4lp_test_16,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_17,short,openai,nlp4lp_test_17,nlp4lp_test_17,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_18,short,openai,nlp4lp_test_18,nlp4lp_test_18,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_19,short,openai,nlp4lp_test_19,nlp4lp_test_19,1,4,1,0.25,1.0,1.0,1.0,1.0
nlp4lp_test_20,short,openai,nlp4lp_test_20,nlp4lp_test_20,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_21,short,openai,nlp4lp_test_21,nlp4lp_test_21,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_22,short,openai,nlp4lp_test_22,nlp4lp_test_22,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_23,short,openai,nlp4lp_test_23,nlp4lp_test_23,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_24,short,openai,nlp4lp_test_15,nlp4lp_test_24,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_25,short,openai,nlp4lp_test_25,nlp4lp_test_25,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_26,short,openai,nlp4lp_test_26,nlp4lp_test_26,1,8,1,0.125,1.0,1.0,1.0,1.0
nlp4lp_test_27,short,openai,nlp4lp_test_27,nlp4lp_test_27,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_28,short,openai,nlp4lp_test_28,nlp4lp_test_28,1,12,0,0.0,0.0,,,1.0
nlp4lp_test_29,short,openai,nlp4lp_test_29,nlp4lp_test_29,1,6,1,0.16666666666666666,1.0,1.0,1.0,1.0
nlp4lp_test_30,short,openai,nlp4lp_test_30,nlp4lp_test_30,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_31,short,openai,nlp4lp_test_31,nlp4lp_test_31,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_32,short,openai,nlp4lp_test_32,nlp4lp_test_32,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_33,short,openai,nlp4lp_test_33,nlp4lp_test_33,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_34,short,openai,nlp4lp_test_31,nlp4lp_test_34,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_35,short,openai,nlp4lp_test_35,nlp4lp_test_35,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_36,short,openai,nlp4lp_test_10,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_37,short,openai,nlp4lp_test_37,nlp4lp_test_37,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_38,short,openai,nlp4lp_test_38,nlp4lp_test_38,1,9,1,0.1111111111111111,1.0,1.0,1.0,1.0
nlp4lp_test_39,short,openai,nlp4lp_test_39,nlp4lp_test_39,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_40,short,openai,nlp4lp_test_40,nlp4lp_test_40,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_41,short,openai,nlp4lp_test_41,nlp4lp_test_41,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_42,short,openai,nlp4lp_test_42,nlp4lp_test_42,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_43,short,openai,nlp4lp_test_43,nlp4lp_test_43,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_44,short,openai,nlp4lp_test_44,nlp4lp_test_44,1,4,1,0.25,1.0,1.0,1.0,1.0
nlp4lp_test_45,short,openai,nlp4lp_test_45,nlp4lp_test_45,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_46,short,openai,nlp4lp_test_46,nlp4lp_test_46,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_47,short,openai,nlp4lp_test_47,nlp4lp_test_47,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_48,short,openai,nlp4lp_test_48,nlp4lp_test_48,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_49,short,openai,nlp4lp_test_49,nlp4lp_test_49,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_50,short,openai,nlp4lp_test_50,nlp4lp_test_50,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_51,short,openai,nlp4lp_test_14,nlp4lp_test_51,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_52,short,openai,nlp4lp_test_52,nlp4lp_test_52,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_53,short,openai,nlp4lp_test_53,nlp4lp_test_53,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_54,short,openai,nlp4lp_test_54,nlp4lp_test_54,1,4,1,0.25,1.0,1.0,1.0,1.0
nlp4lp_test_55,short,openai,nlp4lp_test_55,nlp4lp_test_55,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_56,short,openai,nlp4lp_test_56,nlp4lp_test_56,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_57,short,openai,nlp4lp_test_57,nlp4lp_test_57,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_58,short,openai,nlp4lp_test_58,nlp4lp_test_58,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_59,short,openai,nlp4lp_test_59,nlp4lp_test_59,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_60,short,openai,nlp4lp_test_60,nlp4lp_test_60,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_61,short,openai,nlp4lp_test_61,nlp4lp_test_61,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_62,short,openai,nlp4lp_test_62,nlp4lp_test_62,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_63,short,openai,nlp4lp_test_63,nlp4lp_test_63,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_64,short,openai,nlp4lp_test_64,nlp4lp_test_64,1,4,2,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_65,short,openai,nlp4lp_test_65,nlp4lp_test_65,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_66,short,openai,nlp4lp_test_66,nlp4lp_test_66,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_67,short,openai,nlp4lp_test_67,nlp4lp_test_67,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_68,short,openai,nlp4lp_test_68,nlp4lp_test_68,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_69,short,openai,nlp4lp_test_69,nlp4lp_test_69,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_70,short,openai,nlp4lp_test_70,nlp4lp_test_70,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_71,short,openai,nlp4lp_test_71,nlp4lp_test_71,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_72,short,openai,nlp4lp_test_72,nlp4lp_test_72,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_73,short,openai,nlp4lp_test_73,nlp4lp_test_73,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_74,short,openai,nlp4lp_test_74,nlp4lp_test_74,1,9,1,0.1111111111111111,1.0,1.0,1.0,1.0
nlp4lp_test_75,short,openai,nlp4lp_test_75,nlp4lp_test_75,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_76,short,openai,nlp4lp_test_76,nlp4lp_test_76,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_77,short,openai,nlp4lp_test_77,nlp4lp_test_77,1,5,0,0.0,0.0,,,1.0
