query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,orig,lsa,investment_lp,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,orig,lsa,nlp4lp_test_65,nlp4lp_test_1,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_2,orig,lsa,nlp4lp_test_2,nlp4lp_test_2,1,8,8,1.0,1.0,0.0,0.25,1.0
nlp4lp_test_3,orig,lsa,nlp4lp_test_3,nlp4lp_test_3,1,7,7,1.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.0
nlp4lp_test_4,orig,lsa,nlp4lp_test_41,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,orig,lsa,nlp4lp_test_5,nlp4lp_test_5,1,10,10,1.0,1.0,0.6,0.6,1.0
nlp4lp_test_6,orig,lsa,nlp4lp_test_6,nlp4lp_test_6,1,8,8,1.0,0.875,0.125,0.25,1.0
nlp4lp_test_7,orig,lsa,nlp4lp_test_7,nlp4lp_test_7,1,8,8,1.0,1.0,0.125,0.125,1.0
nlp4lp_test_8,orig,lsa,nlp4lp_test_8,nlp4lp_test_8,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_9,orig,lsa,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,orig,lsa,nlp4lp_test_10,nlp4lp_test_10,1,8,7,0.875,1.0,0.42857142857142855,0.42857142857142855,1.0
nlp4lp_test_11,orig,lsa,nlp4lp_test_11,nlp4lp_test_11,1,8,8,1.0,1.0,0.25,0.375,1.0
nlp4lp_test_12,orig,lsa,nlp4lp_test_15,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,orig,lsa,nlp4lp_test_13,nlp4lp_test_13,1,13,12,0.9230769230769231,1.0,0.3333333333333333,0.4166666666666667,1.0
nlp4lp_test_14,orig,lsa,nlp4lp_test_14,nlp4lp_test_14,1,5,5,1.0,0.2,0.2,0.2,1.0
nlp4lp_test_15,orig,lsa,nlp4lp_test_15,nlp4lp_test_15,1,8,8,1.0,1.0,0.5,0.625,1.0
nlp4lp_test_16,orig,lsa,nlp4lp_test_16,nlp4lp_test_16,1,8,8,1.0,1.0,0.125,0.25,1.0
nlp4lp_test_17,orig,lsa,nlp4lp_test_17,nlp4lp_test_17,1,9,9,1.0,1.0,0.2222222222222222,0.2222222222222222,1.0
nlp4lp_test_18,orig,lsa,nlp4lp_test_18,nlp4lp_test_18,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_19,orig,lsa,nlp4lp_test_19,nlp4lp_test_19,1,4,4,1.0,1.0,0.25,0.25,1.0
nlp4lp_test_20,orig,lsa,nlp4lp_test_20,nlp4lp_test_20,1,6,6,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_21,orig,lsa,nlp4lp_test_21,nlp4lp_test_21,1,5,5,1.0,1.0,0.2,0.2,1.0
nlp4lp_test_22,orig,lsa,nlp4lp_test_22,nlp4lp_test_22,1,3,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_23,orig,lsa,nlp4lp_test_23,nlp4lp_test_23,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_24,orig,lsa,nlp4lp_test_122,nlp4lp_test_24,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_25,orig,lsa,nlp4lp_test_25,nlp4lp_test_25,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_26,orig,lsa,nlp4lp_test_26,nlp4lp_test_26,1,8,8,1.0,1.0,0.375,0.375,1.0
nlp4lp_test_27,orig,lsa,nlp4lp_test_27,nlp4lp_test_27,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_28,orig,lsa,nlp4lp_test_28,nlp4lp_test_28,1,12,11,0.9166666666666666,0.9090909090909091,0.18181818181818182,0.18181818181818182,1.0
nlp4lp_test_29,orig,lsa,nlp4lp_test_29,nlp4lp_test_29,1,6,5,0.8333333333333334,0.8,0.4,0.4,1.0
nlp4lp_test_30,orig,lsa,nlp4lp_test_30,nlp4lp_test_30,1,7,7,1.0,1.0,0.2857142857142857,0.2857142857142857,1.0
nlp4lp_test_31,orig,lsa,nlp4lp_test_31,nlp4lp_test_31,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_32,orig,lsa,nlp4lp_test_32,nlp4lp_test_32,1,8,8,1.0,1.0,0.25,0.25,1.0
nlp4lp_test_33,orig,lsa,nlp4lp_test_33,nlp4lp_test_33,1,8,8,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_34,orig,lsa,nlp4lp_test_34,nlp4lp_test_34,1,4,4,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_35,orig,lsa,nlp4lp_test_35,nlp4lp_test_35,1,8,8,1.0,1.0,0.375,0.375,1.0
nlp4lp_test_36,orig,lsa,nlp4lp_test_10,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
