problem_id,first_bad_stage,primary_root_cause,secondary_root_cause,renderer_fault,LLM_fault,prompt_fault,merge_fault,correction_fault,semantic_fault,fixable_without_method_change,notes
14,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Scalar parameter values missing in early AMPL; correction reached executable but gold objective mismatched.,False,True,True,False,False,True,True,Safe metadata only; no gated problem text included.
23,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Free index/undeclared indexed symbols survived into AMPL; prompt and validator did not constrain indexed AMPL enough.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
34,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Malformed/incomplete AMPL corrected to executable but gold objective mismatched.,False,True,True,False,False,True,True,Safe metadata only; no gated problem text included.
59,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction rescued executability but gold objective mismatched.,False,True,True,False,False,True,True,Safe metadata only; no gated problem text included.
69,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction rescued executability but gold objective mismatched.,False,True,True,False,False,True,True,Safe metadata only; no gated problem text included.
72,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction loop introduced/preserved duplicate declarations.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
84,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Free index and missing recognized constraints repeated through all correction iterations.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
88,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",AMPL parse errors repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
96,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Undeclared indexed dimensions and free index-like symbols repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
117,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Free index repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
190,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Missing recognized constraints plus undeclared sets/index symbols repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
202,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Missing recognized constraints plus undeclared sets/index symbols repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
208,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction rescued duplicate/missing-value issues but gold objective mismatched.,False,True,True,False,False,True,True,Safe metadata only; no gated problem text included.
219,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",AMPL parse errors repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
232,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Free index repeated through correction.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
237,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction rescued executability; no reliable semantic denominator available.,False,True,True,False,False,False,True,Safe metadata only; no gated problem text included.
254,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Correction introduced/preserved duplicate declarations.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
262,G_extr_input_source,"Parametrized metadata used instead of raw description, dropping concrete numeric grounding.",Final model parsed but solver invocation failed; generated AMPL structure remained unsupported/malformed.,False,True,True,False,True,True,True,Safe metadata only; no gated problem text included.
