problem_id,lp_or_milp,partition_node_count,partition_depth,initial_generation_valid,initial_ampl_parse_success,initial_solver_success,initial_feasible_status,correction_invoked,correction_iterations,final_ampl_parse_success,final_solver_status,final_feasible,objective_produced,objective_value,failure_category,total_llm_calls,g_extr_calls,g_mod_calls,correction_calls,prompt_tokens,completion_tokens,total_tokens,latency_seconds,estimated_cost_usd,cost_status,provider,deployment,underlying_model,temperature,prompt_hashes,final_ampl_hash,gold_comparison_eligible,gold_solver_success,gold_feasible,gold_objective,objective_match_with_gold,semantic_correctness_status,semantically_wrong_but_feasible
14,LP,5,1,YES,False,False,False,True,4,True,solved,True,True,0.0,B. SUCCESS_AFTER_CORRECTION,16,1,3,12,10913,3263,14176,51.959321,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,039e0ddc9c8c79c0;03a475108beb5527;044f4ecbe1f755bd;10e8ca6e0abbafbc;18983409964fbcef;2ded0178c022713b;34935be27a8768f3;64f1d22a52c5a7a3;7facdddbb7bb40af;923d7776a6c6fff5;9888e2732c2f7ccc;d25ef83f5676ab4b;e04b1c7a7cc65273;e49f53348060297e;eca6fba00db4db85;fd6f57822e12cb9d,52095249e4004a5c,True,True,True,486.0,False,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,True
23,MILP,1,0,NO,False,False,False,True,5,False,,False,False,,D. AMPL_RENDER_FAILURE,18,1,2,15,10868,3292,14160,64.13099,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,09bd47f1a7b92e29;104171a4df0ddb1e;2df9f4ca5166bb86;3d6cdae7c98b6eee;4766c23263a0d9be;51413c39f03f423d;555e9271dbb5bbb2;767ced67fb9123cf;93fe924b87b09ff9;a2880b66dbbba86c;c4734bc9ffc2a910;cdb8d5ac034dc7bd;d02c3cc995b336b8;dc79836aedd0cc65;e17f719b485ff487;eadbbe73df575192;fd140b6231fdaa4e,804edaa0b35b61d8,True,True,True,40.0,,NOT_EVALUABLE,
34,LP,3,1,YES,False,False,False,True,3,True,solved,True,True,1600.0,B. SUCCESS_AFTER_CORRECTION,12,1,2,9,7937,2323,10260,36.721248,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,5e8d125153080f42;75db983609e1854c;7e4a24249aa30f5e;95b4838ffc2f6ea1;973db4df2b10e644;b74fa044303da9ce;cbd08cd2206cc80d;cdc8fa82954ea147;e254ae575bcc274f;e86bacd7c1f866a6;f6036907fb90695b;f789cf028ffabda2,92929c8e98eead38,True,True,True,400000.0,False,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,True
59,LP,4,1,YES,False,False,False,True,1,True,solved,True,True,3.0,B. SUCCESS_AFTER_CORRECTION,8,1,4,3,4476,1345,5821,19.094941,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,0f4ddd9715bec87c;2d12a57ef3f4ec64;3d7eac846893dbc7;a58db63a4af409cf;b8000f5db058122e;c1b71113cd584e6b;e4547c6651b67eff;f74614aa79fd3589,7059439f840e3ef7,True,True,True,26.000000000000007,False,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,True
69,MILP,5,1,YES,False,False,False,True,4,True,solved,True,True,3.0,B. SUCCESS_AFTER_CORRECTION,17,1,4,12,11530,3249,14779,47.707218,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,17a8bfacf3ce0931;19db16280379a4c7;1b883f458697e660;29faa7e3671f6dfd;2e63fe06b750e9be;49994929ec8fbcba;4a44148677cda760;4ce0a47d1860fac3;744fa1e52b7e3adf;76a81e16606013f3;8f236da2b10d6ea9;b8436a772225996e;b84a1715cc3dfd65;bf27d23a730ae08b;f051cca20cb29045;f0efeeee0e34597c;fa8ebef4b6784cd7,e8f32496452d25a0,True,True,True,20.0,False,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,True
72,MILP,3,1,YES,False,False,False,True,5,False,,False,False,,E. AMPL_PARSE_FAILURE,18,1,2,15,11838,3206,15044,55.165143,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,15bacbc35c5efed1;21aaea73be443837;2f189f687917d4b9;32525d5684dbba36;351846550198743c;441faa522e265bdd;456985bcf1f96511;49a04feb1c916c18;4c502ef6c045ae65;8a6fe8bdc03f478c;95d127a85980a157;9a303947b31b977e;b40420e48d1de1cd;c001df1212d08164;cf02398c5d34bfe3;e632b7e8b6ca7618;f50367c641d004de;ffd7fb98f73191bd,6cb4effcce4f8903,True,True,True,8.0,,NOT_EVALUABLE,
84,LP,1,0,NO,False,False,False,True,5,False,,False,False,,D. AMPL_RENDER_FAILURE,18,1,2,15,10927,3293,14220,50.502183,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,08554e41ff82138c;223552e997700038;2bc236101e797a3a;3ad32f1418bfb536;693d1537c4929637;6a590795291956fc;7d57079c6bd4ffa6;a337a811fecd75e6;b55f3105635894e4;bd40eb2748c25e31;c1d324580658a246;c430e97ba38b2c0a;d48ae4cfe91ded03;d53376399c065129;ecb4ed9f2a6f582e;eee14493251a729b,f61f3a6acbf90804,True,True,True,1555.5555555555557,,NOT_EVALUABLE,
88,MILP,3,1,YES,False,False,False,True,5,False,,False,False,,E. AMPL_PARSE_FAILURE,18,1,2,15,11196,2912,14108,52.653399,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,048be2573989ad06;33496eb8e4d4c271;5e9070b691289636;71c46ac4c9bf4057;724eb76278a51cd7;79aceece0fd1e43b;7d256b1f326b2bd2;81c1890db8ddbc0e;8cce5d4bc5fcd236;9156d5301c2b792a;9c7f6a30cb58c2e4;9fbbcee0dae76666;b43bcb85baf5992a;bced33d4d9647425;c3bfb269660810d2;e33506038d269da4;e5a1c5e7cf150367;fc021704f827c07a,7c15baa30229ec16,True,True,True,142.0,,NOT_EVALUABLE,
96,LP,1,0,NO,False,False,False,True,5,False,,False,False,,D. AMPL_RENDER_FAILURE,18,1,2,15,12129,3744,15873,59.624577,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,16194192ab656ac0;3214584c57d325b3;3f354857f41ed89a;5a6643657a179a98;636986cc76203eb3;64ab38c926ab7c0c;7cb8745139b0ac2a;8b274b8839070f3a;8ea9ca6527c4de92;9a509029f55cb9d2;a18a9da5797d192a;b4281521f496c28a;b616bdc95a31ccc5;b621dcffb0d24995;b78fae6dc3e41c36;d56fafc574bd1d95;dc6d06ba2ca5304e;f24599f469970112,9dc802beddc82974,True,True,True,27.5,,NOT_EVALUABLE,
117,LP,3,1,NO,False,False,False,True,5,False,,False,False,,D. AMPL_RENDER_FAILURE,18,1,2,15,12537,4129,16666,59.109545,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,0.2,081ba5b9196203f8;083013bf4b34114c;0bc5eaa1aa6a9686;3b382c97487da665;449c5456932c2837;49082eaa000058dc;5633e6465f6bba37;5ca14f0585a3089a;5cf97c754de100e6;7c5b9b36115144c1;94d9fd56216bb112;b06d038ac0a14c5b;c07c33440b59f458;d72a1b9abb4d7800;ddb0360ec6a5e0b6,65054adc72457d46,True,True,True,600.0,,NOT_EVALUABLE,
