problem_id,initial_success,final_success,rescued_by_correction,harmed_by_correction,correction_iterations,correction_calls,correction_tokens,correction_latency_seconds
14,False,True,True,False,4,12,10864,36.694647
23,False,False,False,False,5,15,12137,52.699049
34,False,True,True,False,3,9,7983,27.582453
59,False,True,True,False,1,3,2644,9.018007
69,False,True,True,False,4,12,11172,31.41569
72,False,False,False,False,5,15,12879,44.169444
84,False,False,False,False,5,15,12318,41.295699
88,False,False,False,False,5,15,11914,43.0345
96,False,False,False,False,5,15,13747,49.370562
117,False,False,False,False,5,15,14321,48.983454
190,False,False,False,False,5,15,13609,47.202048
202,False,False,False,False,5,15,12191,46.881118
208,False,True,True,False,4,12,10415,33.965246
219,False,False,False,False,5,15,12928,46.945736
232,False,False,False,False,5,15,14946,57.899672
237,False,True,True,False,3,9,7224,23.885366
254,False,False,False,False,5,15,13546,44.789072
262,False,False,False,False,5,15,17859,62.347481
