method,coverage_threshold,type_match_threshold,ordinary_ready_count,strict_ready_count,false_ready_count
tfidf_typed_greedy,0.8,0.8,257,247,10
tfidf_typed_greedy,0.8,0.9,213,203,10
tfidf_typed_greedy,0.8,1.0,212,202,10
tfidf_typed_greedy,0.9,0.8,244,234,10
tfidf_typed_greedy,0.9,0.9,206,196,10
tfidf_typed_greedy,0.9,1.0,205,195,10
tfidf_typed_greedy,1.0,0.8,241,231,10
tfidf_typed_greedy,1.0,0.9,203,193,10
tfidf_typed_greedy,1.0,1.0,202,192,10
tfidf_selective_grounding_rerank,0.8,0.8,265,249,16
tfidf_selective_grounding_rerank,0.8,0.9,221,205,16
tfidf_selective_grounding_rerank,0.8,1.0,220,204,16
tfidf_selective_grounding_rerank,0.9,0.8,252,236,16
tfidf_selective_grounding_rerank,0.9,0.9,214,198,16
tfidf_selective_grounding_rerank,0.9,1.0,213,197,16
tfidf_selective_grounding_rerank,1.0,0.8,249,233,16
tfidf_selective_grounding_rerank,1.0,0.9,211,195,16
tfidf_selective_grounding_rerank,1.0,1.0,210,194,16
oracle_typed_greedy,0.8,0.8,273,273,0
oracle_typed_greedy,0.8,0.9,228,228,0
oracle_typed_greedy,0.8,1.0,227,227,0
oracle_typed_greedy,0.9,0.8,258,258,0
oracle_typed_greedy,0.9,0.9,220,220,0
oracle_typed_greedy,0.9,1.0,219,219,0
oracle_typed_greedy,1.0,0.8,255,255,0
oracle_typed_greedy,1.0,0.9,217,217,0
oracle_typed_greedy,1.0,1.0,216,216,0
