method,bucket,count
tfidf_typed_greedy,schema_correct_both_coverage_and_typematch_failure,13
tfidf_typed_greedy,schema_correct_coverage_failure,11
tfidf_typed_greedy,schema_correct_ready_and_exact20_full,7
tfidf_typed_greedy,schema_correct_ready_but_exact20_not_full,240
tfidf_typed_greedy,schema_correct_typematch_failure,30
tfidf_typed_greedy,schema_wrong,30
tfidf_selective_grounding_rerank,schema_correct_both_coverage_and_typematch_failure,13
tfidf_selective_grounding_rerank,schema_correct_coverage_failure,11
tfidf_selective_grounding_rerank,schema_correct_ready_and_exact20_full,7
tfidf_selective_grounding_rerank,schema_correct_ready_but_exact20_not_full,242
tfidf_selective_grounding_rerank,schema_correct_typematch_failure,30
tfidf_selective_grounding_rerank,schema_wrong,28
bm25_typed_greedy,schema_correct_both_coverage_and_typematch_failure,11
bm25_typed_greedy,schema_correct_coverage_failure,10
bm25_typed_greedy,schema_correct_ready_and_exact20_full,7
bm25_typed_greedy,schema_correct_ready_but_exact20_not_full,234
bm25_typed_greedy,schema_correct_typematch_failure,30
bm25_typed_greedy,schema_wrong,39
lsa_typed_greedy,schema_correct_both_coverage_and_typematch_failure,9
lsa_typed_greedy,schema_correct_coverage_failure,8
lsa_typed_greedy,schema_correct_ready_and_exact20_full,6
lsa_typed_greedy,schema_correct_ready_but_exact20_not_full,227
lsa_typed_greedy,schema_correct_typematch_failure,30
lsa_typed_greedy,schema_wrong,51
oracle_typed_greedy,schema_correct_both_coverage_and_typematch_failure,15
oracle_typed_greedy,schema_correct_coverage_failure,13
oracle_typed_greedy,schema_correct_ready_and_exact20_full,8
oracle_typed_greedy,schema_correct_ready_but_exact20_not_full,265
oracle_typed_greedy,schema_correct_typematch_failure,30
tfidf_acceptance_rerank,schema_correct_both_coverage_and_typematch_failure,13
tfidf_acceptance_rerank,schema_correct_coverage_failure,8
tfidf_acceptance_rerank,schema_correct_ready_and_exact20_full,7
tfidf_acceptance_rerank,schema_correct_ready_but_exact20_not_full,237
tfidf_acceptance_rerank,schema_correct_typematch_failure,29
tfidf_acceptance_rerank,schema_wrong,37
tfidf_constrained,schema_correct_both_coverage_and_typematch_failure,10
tfidf_constrained,schema_correct_coverage_failure,33
tfidf_constrained,schema_correct_ready_and_exact20_full,49
tfidf_constrained,schema_correct_ready_but_exact20_not_full,189
tfidf_constrained,schema_correct_typematch_failure,20
tfidf_constrained,schema_wrong,30
tfidf_hierarchical_acceptance_rerank,schema_correct_both_coverage_and_typematch_failure,10
tfidf_hierarchical_acceptance_rerank,schema_correct_coverage_failure,8
tfidf_hierarchical_acceptance_rerank,schema_correct_ready_and_exact20_full,6
tfidf_hierarchical_acceptance_rerank,schema_correct_ready_but_exact20_not_full,222
tfidf_hierarchical_acceptance_rerank,schema_correct_typematch_failure,26
tfidf_hierarchical_acceptance_rerank,schema_wrong,59
tfidf_hierarchical_structured_grounding,schema_correct_both_coverage_and_typematch_failure,10
tfidf_hierarchical_structured_grounding,schema_correct_coverage_failure,45
tfidf_hierarchical_structured_grounding,schema_correct_ready_and_exact20_full,77
tfidf_hierarchical_structured_grounding,schema_correct_ready_but_exact20_not_full,146
tfidf_hierarchical_structured_grounding,schema_correct_typematch_failure,23
tfidf_hierarchical_structured_grounding,schema_wrong,30
tfidf_max_weight_matching,schema_correct_both_coverage_and_typematch_failure,11
tfidf_max_weight_matching,schema_correct_coverage_failure,30
tfidf_max_weight_matching,schema_correct_ready_and_exact20_full,51
tfidf_max_weight_matching,schema_correct_ready_but_exact20_not_full,185
tfidf_max_weight_matching,schema_correct_typematch_failure,24
tfidf_max_weight_matching,schema_wrong,30
tfidf_optimization_role_repair,schema_correct_both_coverage_and_typematch_failure,11
tfidf_optimization_role_repair,schema_correct_coverage_failure,30
tfidf_optimization_role_repair,schema_correct_ready_and_exact20_full,49
tfidf_optimization_role_repair,schema_correct_ready_but_exact20_not_full,185
tfidf_optimization_role_repair,schema_correct_typematch_failure,26
tfidf_optimization_role_repair,schema_wrong,30
tfidf_search_structured_grounding,schema_correct_both_coverage_and_typematch_failure,11
tfidf_search_structured_grounding,schema_correct_coverage_failure,46
tfidf_search_structured_grounding,schema_correct_ready_and_exact20_full,73
tfidf_search_structured_grounding,schema_correct_ready_but_exact20_not_full,150
tfidf_search_structured_grounding,schema_correct_typematch_failure,21
tfidf_search_structured_grounding,schema_wrong,30
tfidf_semantic_ir_repair,schema_correct_both_coverage_and_typematch_failure,18
tfidf_semantic_ir_repair,schema_correct_coverage_failure,30
tfidf_semantic_ir_repair,schema_correct_ready_and_exact20_full,22
tfidf_semantic_ir_repair,schema_correct_ready_but_exact20_not_full,208
tfidf_semantic_ir_repair,schema_correct_typematch_failure,23
tfidf_semantic_ir_repair,schema_wrong,30
