method,query_id,predicted_doc_id,gold_doc_id,schema_correct,ordinary_ready,strict_ready,false_ready,param_coverage,type_match,n_expected_scalar,n_filled,exact5,exact20,key_overlap,gold_scalar_count,taxonomy
tfidf_typed_greedy,nlp4lp_test_161,nlp4lp_test_151,nlp4lp_test_161,0,1,0,1,1.0,1.0,5,5,,,0.7142857142857143,7,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_286,nlp4lp_test_285,nlp4lp_test_286,0,1,0,1,1.0,1.0,2,2,,,0.3333333333333333,6,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_287,nlp4lp_test_293,nlp4lp_test_287,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_288,nlp4lp_test_293,nlp4lp_test_288,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_291,nlp4lp_test_293,nlp4lp_test_291,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_292,nlp4lp_test_293,nlp4lp_test_292,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_299,nlp4lp_test_321,nlp4lp_test_299,0,1,0,1,1.0,1.0,1,1,,,0.5,2,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_316,nlp4lp_test_325,nlp4lp_test_316,0,1,0,1,1.0,1.0,2,2,,,1.0,2,structurally_similar_schema
tfidf_typed_greedy,nlp4lp_test_318,nlp4lp_test_312,nlp4lp_test_318,0,1,0,1,1.0,1.0,4,4,,,0.6666666666666666,6,fewer_or_easier_scalar_slots
tfidf_typed_greedy,nlp4lp_test_322,nlp4lp_test_321,nlp4lp_test_322,0,1,0,1,1.0,1.0,3,3,,,0.5,6,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_12,nlp4lp_test_205,nlp4lp_test_12,0,1,0,1,1.0,1.0,1,1,,,0.5,2,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_106,nlp4lp_test_7,nlp4lp_test_106,0,1,0,1,1.0,1.0,1,1,,,0.1111111111111111,9,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_130,nlp4lp_test_231,nlp4lp_test_130,0,1,0,1,1.0,1.0,1,1,,,0.1111111111111111,9,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_161,nlp4lp_test_151,nlp4lp_test_161,0,1,0,1,1.0,1.0,5,5,,,0.7142857142857143,7,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_194,nlp4lp_test_32,nlp4lp_test_194,0,1,0,1,1.0,1.0,2,2,,,0.25,8,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_286,nlp4lp_test_285,nlp4lp_test_286,0,1,0,1,1.0,1.0,2,2,,,0.3333333333333333,6,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_287,nlp4lp_test_293,nlp4lp_test_287,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_288,nlp4lp_test_293,nlp4lp_test_288,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_291,nlp4lp_test_293,nlp4lp_test_291,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_292,nlp4lp_test_293,nlp4lp_test_292,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_299,nlp4lp_test_321,nlp4lp_test_299,0,1,0,1,1.0,1.0,1,1,,,0.5,2,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_311,nlp4lp_test_325,nlp4lp_test_311,0,1,0,1,1.0,1.0,2,2,,,1.0,2,structurally_similar_schema
tfidf_selective_grounding_rerank,nlp4lp_test_316,nlp4lp_test_325,nlp4lp_test_316,0,1,0,1,1.0,1.0,2,2,,,1.0,2,structurally_similar_schema
tfidf_selective_grounding_rerank,nlp4lp_test_317,nlp4lp_test_325,nlp4lp_test_317,0,1,0,1,1.0,1.0,2,2,,,1.0,2,structurally_similar_schema
tfidf_selective_grounding_rerank,nlp4lp_test_318,nlp4lp_test_312,nlp4lp_test_318,0,1,0,1,1.0,1.0,4,4,,,0.6666666666666666,6,fewer_or_easier_scalar_slots
tfidf_selective_grounding_rerank,nlp4lp_test_322,nlp4lp_test_321,nlp4lp_test_322,0,1,0,1,1.0,1.0,3,3,,,0.5,6,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_95,nlp4lp_test_134,nlp4lp_test_95,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_104,nlp4lp_test_270,nlp4lp_test_104,0,1,0,1,1.0,1.0,1,1,,,0.2,5,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_106,nlp4lp_test_120,nlp4lp_test_106,0,1,0,1,1.0,1.0,1,1,,,0.1111111111111111,9,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_148,nlp4lp_test_138,nlp4lp_test_148,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_194,nlp4lp_test_32,nlp4lp_test_194,0,1,0,1,1.0,1.0,2,2,,,0.25,8,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_286,nlp4lp_test_285,nlp4lp_test_286,0,1,0,1,1.0,1.0,2,2,,,0.3333333333333333,6,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_287,nlp4lp_test_293,nlp4lp_test_287,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_288,nlp4lp_test_293,nlp4lp_test_288,0,1,0,1,1.0,1.0,1,1,,,0.25,4,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_291,nlp4lp_test_293,nlp4lp_test_291,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_292,nlp4lp_test_293,nlp4lp_test_292,0,1,0,1,1.0,1.0,1,1,,,0.3333333333333333,3,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_318,nlp4lp_test_312,nlp4lp_test_318,0,1,0,1,1.0,1.0,4,4,,,0.6666666666666666,6,fewer_or_easier_scalar_slots
bm25_typed_greedy,nlp4lp_test_322,nlp4lp_test_321,nlp4lp_test_322,0,1,0,1,1.0,1.0,3,3,,,0.5,6,fewer_or_easier_scalar_slots
lsa_typed_greedy,nlp4lp_test_90,nlp4lp_test_120,nlp4lp_test_90,0,1,0,1,1.0,1.0,1,1,,,0.1111111111111111,9,fewer_or_easier_scalar_slots
lsa_typed_greedy,nlp4lp_test_106,nlp4lp_test_7,nlp4lp_test_106,0,1,0,1,1.0,1.0,1,1,,,0.1111111111111111,9,fewer_or_easier_scalar_slots
