method,query_id,predicted_doc_id,gold_doc_id,schema_correct,ordinary_ready,strict_ready,false_ready,param_coverage,type_match,n_expected_scalar,n_filled,exact5,exact20,key_overlap
tfidf_typed_greedy,nlp4lp_test_0,nlp4lp_test_0,nlp4lp_test_0,1,1,1,0,1.0,1.0,5,5,1.0,1.0,1.0
tfidf_typed_greedy,nlp4lp_test_1,nlp4lp_test_1,nlp4lp_test_1,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_2,nlp4lp_test_2,nlp4lp_test_2,1,1,1,0,1.0,1.0,8,8,0.0,0.125,1.0
tfidf_typed_greedy,nlp4lp_test_3,nlp4lp_test_3,nlp4lp_test_3,1,1,1,0,1.0,0.8571428571428571,7,7,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_4,nlp4lp_test_41,nlp4lp_test_4,0,0,0,0,0.0,0.0,0,0,,,0.0
tfidf_typed_greedy,nlp4lp_test_5,nlp4lp_test_5,nlp4lp_test_5,1,1,1,0,1.0,1.0,10,10,0.2,0.2,1.0
tfidf_typed_greedy,nlp4lp_test_6,nlp4lp_test_6,nlp4lp_test_6,1,1,1,0,1.0,0.875,8,8,0.125,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_7,nlp4lp_test_7,nlp4lp_test_7,1,1,1,0,1.0,1.0,8,8,0.125,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_8,nlp4lp_test_8,nlp4lp_test_8,1,1,1,0,1.0,1.0,3,3,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_9,nlp4lp_test_9,nlp4lp_test_9,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_10,nlp4lp_test_10,nlp4lp_test_10,1,1,1,0,0.875,1.0,8,7,0.42857142857142855,0.42857142857142855,1.0
tfidf_typed_greedy,nlp4lp_test_11,nlp4lp_test_11,nlp4lp_test_11,1,1,1,0,1.0,1.0,8,8,0.125,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_12,nlp4lp_test_260,nlp4lp_test_12,0,0,0,0,0.0,0.0,0,0,,,0.0
tfidf_typed_greedy,nlp4lp_test_13,nlp4lp_test_13,nlp4lp_test_13,1,1,1,0,0.9230769230769231,1.0,13,12,0.08333333333333333,0.08333333333333333,1.0
tfidf_typed_greedy,nlp4lp_test_14,nlp4lp_test_14,nlp4lp_test_14,1,0,0,0,1.0,0.4,5,5,0.4,0.4,1.0
tfidf_typed_greedy,nlp4lp_test_15,nlp4lp_test_15,nlp4lp_test_15,1,1,1,0,1.0,1.0,8,8,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_16,nlp4lp_test_16,nlp4lp_test_16,1,1,1,0,1.0,1.0,8,8,0.25,0.375,1.0
tfidf_typed_greedy,nlp4lp_test_17,nlp4lp_test_17,nlp4lp_test_17,1,1,1,0,1.0,1.0,9,9,0.2222222222222222,0.2222222222222222,1.0
tfidf_typed_greedy,nlp4lp_test_18,nlp4lp_test_18,nlp4lp_test_18,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_19,nlp4lp_test_19,nlp4lp_test_19,1,1,1,0,1.0,1.0,4,4,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_20,nlp4lp_test_20,nlp4lp_test_20,1,1,1,0,1.0,1.0,6,6,0.16666666666666666,0.16666666666666666,1.0
tfidf_typed_greedy,nlp4lp_test_21,nlp4lp_test_21,nlp4lp_test_21,1,1,1,0,1.0,1.0,5,5,0.2,0.2,1.0
tfidf_typed_greedy,nlp4lp_test_22,nlp4lp_test_22,nlp4lp_test_22,1,1,1,0,1.0,1.0,3,3,0.6666666666666666,0.6666666666666666,1.0
tfidf_typed_greedy,nlp4lp_test_23,nlp4lp_test_23,nlp4lp_test_23,1,1,1,0,1.0,1.0,3,3,0.6666666666666666,0.6666666666666666,1.0
tfidf_typed_greedy,nlp4lp_test_24,nlp4lp_test_122,nlp4lp_test_24,0,0,0,0,0.0,0.0,0,0,,,0.0
tfidf_typed_greedy,nlp4lp_test_25,nlp4lp_test_25,nlp4lp_test_25,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_26,nlp4lp_test_26,nlp4lp_test_26,1,1,1,0,1.0,1.0,8,8,0.625,0.625,1.0
tfidf_typed_greedy,nlp4lp_test_27,nlp4lp_test_27,nlp4lp_test_27,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_28,nlp4lp_test_28,nlp4lp_test_28,1,1,1,0,0.9166666666666666,1.0,12,11,0.18181818181818182,0.18181818181818182,1.0
tfidf_typed_greedy,nlp4lp_test_29,nlp4lp_test_29,nlp4lp_test_29,1,1,1,0,0.8333333333333334,1.0,6,5,0.0,0.2,1.0
tfidf_typed_greedy,nlp4lp_test_30,nlp4lp_test_30,nlp4lp_test_30,1,1,1,0,1.0,1.0,7,7,0.42857142857142855,0.42857142857142855,1.0
tfidf_typed_greedy,nlp4lp_test_31,nlp4lp_test_31,nlp4lp_test_31,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_32,nlp4lp_test_32,nlp4lp_test_32,1,1,1,0,1.0,1.0,8,8,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_33,nlp4lp_test_33,nlp4lp_test_33,1,1,1,0,1.0,1.0,8,8,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_34,nlp4lp_test_34,nlp4lp_test_34,1,1,1,0,1.0,1.0,4,4,0.5,0.5,1.0
tfidf_typed_greedy,nlp4lp_test_35,nlp4lp_test_35,nlp4lp_test_35,1,1,1,0,1.0,1.0,8,8,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_36,nlp4lp_test_10,nlp4lp_test_36,0,0,0,0,0.0,0.0,0,0,,,0.0
tfidf_typed_greedy,nlp4lp_test_37,nlp4lp_test_37,nlp4lp_test_37,1,1,1,0,1.0,1.0,2,2,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_38,nlp4lp_test_38,nlp4lp_test_38,1,1,1,0,1.0,1.0,9,9,0.2222222222222222,0.2222222222222222,1.0
tfidf_typed_greedy,nlp4lp_test_39,nlp4lp_test_39,nlp4lp_test_39,1,0,0,0,1.0,0.6666666666666666,6,6,0.16666666666666666,0.16666666666666666,1.0
tfidf_typed_greedy,nlp4lp_test_40,nlp4lp_test_40,nlp4lp_test_40,1,1,1,0,1.0,1.0,8,8,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_41,nlp4lp_test_41,nlp4lp_test_41,1,1,1,0,1.0,1.0,3,3,0.3333333333333333,0.3333333333333333,1.0
tfidf_typed_greedy,nlp4lp_test_42,nlp4lp_test_42,nlp4lp_test_42,1,1,1,0,1.0,1.0,8,8,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_43,nlp4lp_test_43,nlp4lp_test_43,1,1,1,0,1.0,1.0,3,3,0.3333333333333333,0.3333333333333333,1.0
tfidf_typed_greedy,nlp4lp_test_44,nlp4lp_test_44,nlp4lp_test_44,1,1,1,0,1.0,1.0,4,4,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_45,nlp4lp_test_45,nlp4lp_test_45,1,1,1,0,1.0,0.8888888888888888,9,9,0.3333333333333333,0.5555555555555556,1.0
tfidf_typed_greedy,nlp4lp_test_46,nlp4lp_test_46,nlp4lp_test_46,1,0,0,0,1.0,0.6666666666666666,6,6,0.16666666666666666,0.16666666666666666,1.0
tfidf_typed_greedy,nlp4lp_test_47,nlp4lp_test_47,nlp4lp_test_47,1,0,0,0,0.8,0.75,5,4,0.0,0.0,1.0
tfidf_typed_greedy,nlp4lp_test_48,nlp4lp_test_48,nlp4lp_test_48,1,1,1,0,1.0,1.0,7,7,0.42857142857142855,0.42857142857142855,1.0
tfidf_typed_greedy,nlp4lp_test_49,nlp4lp_test_49,nlp4lp_test_49,1,0,0,0,1.0,0.6666666666666666,6,6,0.5,0.5,1.0
tfidf_typed_greedy,nlp4lp_test_50,nlp4lp_test_50,nlp4lp_test_50,1,1,1,0,1.0,1.0,8,8,0.25,0.25,1.0
tfidf_typed_greedy,nlp4lp_test_51,nlp4lp_test_51,nlp4lp_test_51,1,1,1,0,1.0,1.0,3,3,0.3333333333333333,0.3333333333333333,1.0
